,Date,Val,Type,Series
31,1992 Q2,25.8,Aged 16-24,All
32,1992 Q3,26.2,Aged 16-24,All
33,1992 Q4,26.4,Aged 16-24,All
34,1993 Q1,26.4,Aged 16-24,All
35,1993 Q2,27.0,Aged 16-24,All
36,1993 Q3,27.3,Aged 16-24,All
37,1993 Q4,27.3,Aged 16-24,All
38,1994 Q1,27.7,Aged 16-24,All
39,1994 Q2,27.9,Aged 16-24,All
40,1994 Q3,28.0,Aged 16-24,All
41,1994 Q4,28.9,Aged 16-24,All
42,1995 Q1,28.8,Aged 16-24,All
43,1995 Q2,28.5,Aged 16-24,All
44,1995 Q3,27.5,Aged 16-24,All
45,1995 Q4,27.6,Aged 16-24,All
46,1996 Q1,27.7,Aged 16-24,All
47,1996 Q2,27.5,Aged 16-24,All
48,1996 Q3,27.9,Aged 16-24,All
49,1996 Q4,27.5,Aged 16-24,All
50,1997 Q1,27.5,Aged 16-24,All
51,1997 Q2,27.1,Aged 16-24,All
52,1997 Q3,27.8,Aged 16-24,All
53,1997 Q4,27.6,Aged 16-24,All
54,1998 Q1,28.1,Aged 16-24,All
55,1998 Q2,28.0,Aged 16-24,All
56,1998 Q3,27.3,Aged 16-24,All
57,1998 Q4,27.9,Aged 16-24,All
58,1999 Q1,27.7,Aged 16-24,All
59,1999 Q2,28.5,Aged 16-24,All
60,1999 Q3,28.1,Aged 16-24,All
61,1999 Q4,28.0,Aged 16-24,All
62,2000 Q1,27.9,Aged 16-24,All
63,2000 Q2,28.6,Aged 16-24,All
64,2000 Q3,28.6,Aged 16-24,All
65,2000 Q4,29.5,Aged 16-24,All
66,2001 Q1,29.4,Aged 16-24,All
67,2001 Q2,29.0,Aged 16-24,All
68,2001 Q3,29.2,Aged 16-24,All
69,2001 Q4,28.6,Aged 16-24,All
70,2002 Q1,29.2,Aged 16-24,All
71,2002 Q2,29.4,Aged 16-24,All
72,2002 Q3,29.7,Aged 16-24,All
73,2002 Q4,29.3,Aged 16-24,All
74,2003 Q1,29.9,Aged 16-24,All
75,2003 Q2,30.6,Aged 16-24,All
76,2003 Q3,30.5,Aged 16-24,All
77,2003 Q4,30.5,Aged 16-24,All
78,2004 Q1,29.9,Aged 16-24,All
79,2004 Q2,30.5,Aged 16-24,All
80,2004 Q3,30.6,Aged 16-24,All
81,2004 Q4,30.6,Aged 16-24,All
82,2005 Q1,31.1,Aged 16-24,All
83,2005 Q2,31.4,Aged 16-24,All
84,2005 Q3,31.9,Aged 16-24,All
85,2005 Q4,32.4,Aged 16-24,All
86,2006 Q1,31.8,Aged 16-24,All
87,2006 Q2,31.4,Aged 16-24,All
88,2006 Q3,31.3,Aged 16-24,All
89,2006 Q4,31.5,Aged 16-24,All
90,2007 Q1,32.0,Aged 16-24,All
91,2007 Q2,32.6,Aged 16-24,All
92,2007 Q3,32.6,Aged 16-24,All
93,2007 Q4,32.5,Aged 16-24,All
94,2008 Q1,32.7,Aged 16-24,All
95,2008 Q2,33.0,Aged 16-24,All
96,2008 Q3,33.0,Aged 16-24,All
97,2008 Q4,33.3,Aged 16-24,All
98,2009 Q1,34.1,Aged 16-24,All
99,2009 Q2,34.8,Aged 16-24,All
100,2009 Q3,35.8,Aged 16-24,All
101,2009 Q4,36.6,Aged 16-24,All
102,2010 Q1,36.5,Aged 16-24,All
103,2010 Q2,36.2,Aged 16-24,All
104,2010 Q3,35.9,Aged 16-24,All
105,2010 Q4,36.5,Aged 16-24,All
106,2011 Q1,36.7,Aged 16-24,All
107,2011 Q2,36.4,Aged 16-24,All
108,2011 Q3,36.7,Aged 16-24,All
109,2011 Q4,36.6,Aged 16-24,All
110,2012 Q1,36.5,Aged 16-24,All
111,2012 Q2,35.6,Aged 16-24,All
112,2012 Q3,36.1,Aged 16-24,All
113,2012 Q4,35.7,Aged 16-24,All
114,2013 Q1,36.6,Aged 16-24,All
115,2013 Q2,37.1,Aged 16-24,All
116,2013 Q3,36.2,Aged 16-24,All
117,2013 Q4,36.5,Aged 16-24,All
118,2014 Q1,37.0,Aged 16-24,All
119,2014 Q2,37.4,Aged 16-24,All
120,2014 Q3,37.3,Aged 16-24,All
121,2014 Q4,37.1,Aged 16-24,All
122,2015 Q1,36.7,Aged 16-24,All
123,2015 Q2,36.6,Aged 16-24,All
124,2015 Q3,36.2,Aged 16-24,All
125,2015 Q4,36.6,Aged 16-24,All
126,2016 Q1,36.5,Aged 16-24,All
127,2016 Q2,36.7,Aged 16-24,All
128,2016 Q3,37.2,Aged 16-24,All
129,2016 Q4,37.2,Aged 16-24,All
130,2017 Q1,37.1,Aged 16-24,All
131,2017 Q2,37.5,Aged 16-24,All
132,2017 Q3,38.7,Aged 16-24,All
133,2017 Q4,38.2,Aged 16-24,All
134,2018 Q1,37.8,Aged 16-24,All
135,2018 Q2,38.2,Aged 16-24,All
136,2018 Q3,38.7,Aged 16-24,All
137,2018 Q4,37.6,Aged 16-24,All
138,2019 Q1,37.9,Aged 16-24,All
139,2019 Q2,37.6,Aged 16-24,All
140,2019 Q3,39.0,Aged 16-24,All
141,2019 Q4,38.0,Aged 16-24,All
142,2020 Q1,37.1,Aged 16-24,All
143,2020 Q2,38.5,Aged 16-24,All
144,2020 Q3,40.3,Aged 16-24,All
145,2020 Q4,40.6,Aged 16-24,All
146,2021 Q1,41.6,Aged 16-24,All
147,2021 Q2,40.5,Aged 16-24,All
148,2021 Q3,40.0,Aged 16-24,All
149,2021 Q4,39.0,Aged 16-24,All
150,2022 Q1,39.2,Aged 16-24,All
151,2022 Q2,39.4,Aged 16-24,All
152,2022 Q3,40.2,Aged 16-24,All
153,2022 Q4,39.0,Aged 16-24,All
154,2023 Q1,37.4,Aged 16-24,All
155,2023 Q2,38.0,Aged 16-24,All
31,1992 Q2,17.7,All: Aged 25-34,All
32,1992 Q3,17.7,All: Aged 25-34,All
33,1992 Q4,17.7,All: Aged 25-34,All
34,1993 Q1,17.5,All: Aged 25-34,All
35,1993 Q2,17.4,All: Aged 25-34,All
36,1993 Q3,17.3,All: Aged 25-34,All
37,1993 Q4,17.3,All: Aged 25-34,All
38,1994 Q1,16.9,All: Aged 25-34,All
39,1994 Q2,17.3,All: Aged 25-34,All
40,1994 Q3,17.2,All: Aged 25-34,All
41,1994 Q4,17.3,All: Aged 25-34,All
42,1995 Q1,16.9,All: Aged 25-34,All
43,1995 Q2,17.3,All: Aged 25-34,All
44,1995 Q3,17.1,All: Aged 25-34,All
45,1995 Q4,17.1,All: Aged 25-34,All
46,1996 Q1,17.4,All: Aged 25-34,All
47,1996 Q2,17.2,All: Aged 25-34,All
48,1996 Q3,16.9,All: Aged 25-34,All
49,1996 Q4,16.7,All: Aged 25-34,All
50,1997 Q1,16.6,All: Aged 25-34,All
51,1997 Q2,16.3,All: Aged 25-34,All
52,1997 Q3,16.6,All: Aged 25-34,All
53,1997 Q4,16.4,All: Aged 25-34,All
54,1998 Q1,16.3,All: Aged 25-34,All
55,1998 Q2,16.5,All: Aged 25-34,All
56,1998 Q3,16.5,All: Aged 25-34,All
57,1998 Q4,16.5,All: Aged 25-34,All
58,1999 Q1,16.0,All: Aged 25-34,All
59,1999 Q2,15.7,All: Aged 25-34,All
60,1999 Q3,15.3,All: Aged 25-34,All
61,1999 Q4,15.4,All: Aged 25-34,All
62,2000 Q1,15.6,All: Aged 25-34,All
63,2000 Q2,15.7,All: Aged 25-34,All
64,2000 Q3,15.9,All: Aged 25-34,All
65,2000 Q4,15.8,All: Aged 25-34,All
66,2001 Q1,16.2,All: Aged 25-34,All
67,2001 Q2,16.0,All: Aged 25-34,All
68,2001 Q3,16.3,All: Aged 25-34,All
69,2001 Q4,16.3,All: Aged 25-34,All
70,2002 Q1,16.2,All: Aged 25-34,All
71,2002 Q2,16.3,All: Aged 25-34,All
72,2002 Q3,16.4,All: Aged 25-34,All
73,2002 Q4,16.3,All: Aged 25-34,All
74,2003 Q1,16.5,All: Aged 25-34,All
75,2003 Q2,16.6,All: Aged 25-34,All
76,2003 Q3,16.3,All: Aged 25-34,All
77,2003 Q4,16.5,All: Aged 25-34,All
78,2004 Q1,16.6,All: Aged 25-34,All
79,2004 Q2,16.6,All: Aged 25-34,All
80,2004 Q3,16.7,All: Aged 25-34,All
81,2004 Q4,16.3,All: Aged 25-34,All
82,2005 Q1,16.0,All: Aged 25-34,All
83,2005 Q2,16.5,All: Aged 25-34,All
84,2005 Q3,16.3,All: Aged 25-34,All
85,2005 Q4,15.9,All: Aged 25-34,All
86,2006 Q1,15.7,All: Aged 25-34,All
87,2006 Q2,15.5,All: Aged 25-34,All
88,2006 Q3,15.8,All: Aged 25-34,All
89,2006 Q4,15.8,All: Aged 25-34,All
90,2007 Q1,15.9,All: Aged 25-34,All
91,2007 Q2,15.7,All: Aged 25-34,All
92,2007 Q3,15.7,All: Aged 25-34,All
93,2007 Q4,15.9,All: Aged 25-34,All
94,2008 Q1,15.5,All: Aged 25-34,All
95,2008 Q2,15.2,All: Aged 25-34,All
96,2008 Q3,15.4,All: Aged 25-34,All
97,2008 Q4,15.3,All: Aged 25-34,All
98,2009 Q1,15.1,All: Aged 25-34,All
99,2009 Q2,15.7,All: Aged 25-34,All
100,2009 Q3,15.4,All: Aged 25-34,All
101,2009 Q4,15.2,All: Aged 25-34,All
102,2010 Q1,15.6,All: Aged 25-34,All
103,2010 Q2,15.3,All: Aged 25-34,All
104,2010 Q3,15.2,All: Aged 25-34,All
105,2010 Q4,15.0,All: Aged 25-34,All
106,2011 Q1,14.8,All: Aged 25-34,All
107,2011 Q2,14.9,All: Aged 25-34,All
108,2011 Q3,15.2,All: Aged 25-34,All
109,2011 Q4,15.3,All: Aged 25-34,All
110,2012 Q1,15.2,All: Aged 25-34,All
111,2012 Q2,15.2,All: Aged 25-34,All
112,2012 Q3,15.0,All: Aged 25-34,All
113,2012 Q4,14.9,All: Aged 25-34,All
114,2013 Q1,15.0,All: Aged 25-34,All
115,2013 Q2,14.7,All: Aged 25-34,All
116,2013 Q3,14.5,All: Aged 25-34,All
117,2013 Q4,14.6,All: Aged 25-34,All
118,2014 Q1,14.3,All: Aged 25-34,All
119,2014 Q2,14.4,All: Aged 25-34,All
120,2014 Q3,14.8,All: Aged 25-34,All
121,2014 Q4,15.1,All: Aged 25-34,All
122,2015 Q1,15.0,All: Aged 25-34,All
123,2015 Q2,15.0,All: Aged 25-34,All
124,2015 Q3,14.5,All: Aged 25-34,All
125,2015 Q4,14.0,All: Aged 25-34,All
126,2016 Q1,14.3,All: Aged 25-34,All
