,Date,Val,Type,Series
156,1992 APR,25.4,Aged 16-24,All
157,1992 MAY,25.8,Aged 16-24,All
158,1992 JUN,26.2,Aged 16-24,All
159,1992 JUL,26.1,Aged 16-24,All
160,1992 AUG,26.2,Aged 16-24,All
161,1992 SEP,26.3,Aged 16-24,All
162,1992 OCT,26.2,Aged 16-24,All
163,1992 NOV,26.4,Aged 16-24,All
164,1992 DEC,26.3,Aged 16-24,All
165,1993 JAN,26.3,Aged 16-24,All
166,1993 FEB,26.4,Aged 16-24,All
167,1993 MAR,27.0,Aged 16-24,All
168,1993 APR,26.9,Aged 16-24,All
169,1993 MAY,27.0,Aged 16-24,All
170,1993 JUN,27.0,Aged 16-24,All
171,1993 JUL,27.3,Aged 16-24,All
172,1993 AUG,27.3,Aged 16-24,All
173,1993 SEP,27.3,Aged 16-24,All
174,1993 OCT,27.3,Aged 16-24,All
175,1993 NOV,27.3,Aged 16-24,All
176,1993 DEC,27.5,Aged 16-24,All
177,1994 JAN,27.5,Aged 16-24,All
178,1994 FEB,27.7,Aged 16-24,All
179,1994 MAR,27.6,Aged 16-24,All
180,1994 APR,27.8,Aged 16-24,All
181,1994 MAY,27.9,Aged 16-24,All
182,1994 JUN,27.9,Aged 16-24,All
183,1994 JUL,27.9,Aged 16-24,All
184,1994 AUG,28.0,Aged 16-24,All
185,1994 SEP,28.4,Aged 16-24,All
186,1994 OCT,28.7,Aged 16-24,All
187,1994 NOV,28.9,Aged 16-24,All
188,1994 DEC,29.0,Aged 16-24,All
189,1995 JAN,28.8,Aged 16-24,All
190,1995 FEB,28.8,Aged 16-24,All
191,1995 MAR,28.7,Aged 16-24,All
192,1995 APR,28.3,Aged 16-24,All
193,1995 MAY,28.5,Aged 16-24,All
194,1995 JUN,28.1,Aged 16-24,All
195,1995 JUL,27.6,Aged 16-24,All
196,1995 AUG,27.5,Aged 16-24,All
197,1995 SEP,27.4,Aged 16-24,All
198,1995 OCT,27.7,Aged 16-24,All
199,1995 NOV,27.6,Aged 16-24,All
200,1995 DEC,27.5,Aged 16-24,All
201,1996 JAN,27.5,Aged 16-24,All
202,1996 FEB,27.7,Aged 16-24,All
203,1996 MAR,27.4,Aged 16-24,All
204,1996 APR,27.3,Aged 16-24,All
205,1996 MAY,27.5,Aged 16-24,All
206,1996 JUN,28.1,Aged 16-24,All
207,1996 JUL,27.9,Aged 16-24,All
208,1996 AUG,27.9,Aged 16-24,All
209,1996 SEP,27.7,Aged 16-24,All
210,1996 OCT,27.5,Aged 16-24,All
211,1996 NOV,27.5,Aged 16-24,All
212,1996 DEC,27.5,Aged 16-24,All
213,1997 JAN,27.4,Aged 16-24,All
214,1997 FEB,27.5,Aged 16-24,All
215,1997 MAR,27.5,Aged 16-24,All
216,1997 APR,27.4,Aged 16-24,All
217,1997 MAY,27.1,Aged 16-24,All
218,1997 JUN,26.8,Aged 16-24,All
219,1997 JUL,27.5,Aged 16-24,All
220,1997 AUG,27.8,Aged 16-24,All
221,1997 SEP,28.0,Aged 16-24,All
222,1997 OCT,27.7,Aged 16-24,All
223,1997 NOV,27.6,Aged 16-24,All
224,1997 DEC,28.0,Aged 16-24,All
225,1998 JAN,28.1,Aged 16-24,All
226,1998 FEB,28.1,Aged 16-24,All
227,1998 MAR,28.2,Aged 16-24,All
228,1998 APR,28.3,Aged 16-24,All
229,1998 MAY,28.0,Aged 16-24,All
230,1998 JUN,27.4,Aged 16-24,All
231,1998 JUL,27.0,Aged 16-24,All
232,1998 AUG,27.3,Aged 16-24,All
233,1998 SEP,27.6,Aged 16-24,All
234,1998 OCT,27.7,Aged 16-24,All
235,1998 NOV,27.9,Aged 16-24,All
236,1998 DEC,27.6,Aged 16-24,All
237,1999 JAN,27.6,Aged 16-24,All
238,1999 FEB,27.7,Aged 16-24,All
239,1999 MAR,28.1,Aged 16-24,All
240,1999 APR,28.3,Aged 16-24,All
241,1999 MAY,28.5,Aged 16-24,All
242,1999 JUN,28.4,Aged 16-24,All
243,1999 JUL,28.4,Aged 16-24,All
244,1999 AUG,28.1,Aged 16-24,All
245,1999 SEP,28.2,Aged 16-24,All
246,1999 OCT,28.1,Aged 16-24,All
247,1999 NOV,28.0,Aged 16-24,All
248,1999 DEC,28.0,Aged 16-24,All
249,2000 JAN,28.1,Aged 16-24,All
250,2000 FEB,27.9,Aged 16-24,All
251,2000 MAR,27.9,Aged 16-24,All
252,2000 APR,27.8,Aged 16-24,All
253,2000 MAY,28.6,Aged 16-24,All
254,2000 JUN,28.8,Aged 16-24,All
255,2000 JUL,28.7,Aged 16-24,All
256,2000 AUG,28.6,Aged 16-24,All
257,2000 SEP,28.7,Aged 16-24,All
258,2000 OCT,29.2,Aged 16-24,All
259,2000 NOV,29.5,Aged 16-24,All
260,2000 DEC,29.0,Aged 16-24,All
261,2001 JAN,29.3,Aged 16-24,All
