,Date,Variable,Value,Gender
60,2004-12,Ages 25-34,0.168,All
64,2004-12,Ages 35-49,0.155,All
68,2004-12,Ages 50-64,0.342,All
72,2004-12,Ages 65+,0.938,All
76,2004-12,Ages 16-24,0.322,All
80,2004-12,Ages 25-34,0.08199999999999999,Male
84,2004-12,Ages 35-49,0.083,Male
88,2004-12,Ages 50-64,0.258,Male
92,2004-12,Ages 65+,0.91,Male
96,2004-12,Ages 16-24,0.285,Male
100,2004-12,Ages 25-34,0.253,Female
104,2004-12,Ages 35-49,0.225,Female
108,2004-12,Ages 50-64,0.424,Female
112,2004-12,Ages 65+,0.96,Female
116,2004-12,Ages 16-24,0.359,Female
240,2005-03,Ages 25-34,0.16699999999999998,All
244,2005-03,Ages 35-49,0.154,All
248,2005-03,Ages 50-64,0.341,All
252,2005-03,Ages 65+,0.937,All
256,2005-03,Ages 16-24,0.322,All
260,2005-03,Ages 25-34,0.081,Male
264,2005-03,Ages 35-49,0.083,Male
268,2005-03,Ages 50-64,0.257,Male
272,2005-03,Ages 65+,0.91,Male
276,2005-03,Ages 16-24,0.287,Male
280,2005-03,Ages 25-34,0.252,Female
284,2005-03,Ages 35-49,0.22399999999999998,Female
288,2005-03,Ages 50-64,0.423,Female
292,2005-03,Ages 65+,0.9590000000000001,Female
296,2005-03,Ages 16-24,0.35700000000000004,Female
420,2005-06,Ages 25-34,0.16699999999999998,All
424,2005-06,Ages 35-49,0.154,All
428,2005-06,Ages 50-64,0.34,All
432,2005-06,Ages 65+,0.938,All
436,2005-06,Ages 16-24,0.324,All
440,2005-06,Ages 25-34,0.081,Male
444,2005-06,Ages 35-49,0.083,Male
448,2005-06,Ages 50-64,0.257,Male
452,2005-06,Ages 65+,0.9109999999999999,Male
456,2005-06,Ages 16-24,0.29100000000000004,Male
460,2005-06,Ages 25-34,0.251,Female
464,2005-06,Ages 35-49,0.223,Female
468,2005-06,Ages 50-64,0.42,Female
472,2005-06,Ages 65+,0.9590000000000001,Female
476,2005-06,Ages 16-24,0.35700000000000004,Female
600,2005-09,Ages 25-34,0.166,All
604,2005-09,Ages 35-49,0.153,All
608,2005-09,Ages 50-64,0.33799999999999997,All
612,2005-09,Ages 65+,0.937,All
616,2005-09,Ages 16-24,0.324,All
620,2005-09,Ages 25-34,0.081,Male
624,2005-09,Ages 35-49,0.084,Male
628,2005-09,Ages 50-64,0.255,Male
632,2005-09,Ages 65+,0.9109999999999999,Male
636,2005-09,Ages 16-24,0.29100000000000004,Male
640,2005-09,Ages 25-34,0.25,Female
644,2005-09,Ages 35-49,0.221,Female
648,2005-09,Ages 50-64,0.418,Female
652,2005-09,Ages 65+,0.958,Female
656,2005-09,Ages 16-24,0.358,Female
780,2005-12,Ages 25-34,0.16699999999999998,All
784,2005-12,Ages 35-49,0.152,All
788,2005-12,Ages 50-64,0.337,All
792,2005-12,Ages 65+,0.937,All
796,2005-12,Ages 16-24,0.326,All
800,2005-12,Ages 25-34,0.08199999999999999,Male
804,2005-12,Ages 35-49,0.083,Male
808,2005-12,Ages 50-64,0.255,Male
812,2005-12,Ages 65+,0.9109999999999999,Male
816,2005-12,Ages 16-24,0.294,Male
820,2005-12,Ages 25-34,0.249,Female
824,2005-12,Ages 35-49,0.21899999999999997,Female
828,2005-12,Ages 50-64,0.41700000000000004,Female
832,2005-12,Ages 65+,0.958,Female
836,2005-12,Ages 16-24,0.359,Female
960,2006-03,Ages 25-34,0.16699999999999998,All
964,2006-03,Ages 35-49,0.152,All
968,2006-03,Ages 50-64,0.336,All
972,2006-03,Ages 65+,0.938,All
976,2006-03,Ages 16-24,0.32899999999999996,All
980,2006-03,Ages 25-34,0.083,Male
984,2006-03,Ages 35-49,0.085,Male
988,2006-03,Ages 50-64,0.255,Male
992,2006-03,Ages 65+,0.91,Male
996,2006-03,Ages 16-24,0.294,Male
1000,2006-03,Ages 25-34,0.249,Female
1004,2006-03,Ages 35-49,0.217,Female
1008,2006-03,Ages 50-64,0.414,Female
1012,2006-03,Ages 65+,0.9590000000000001,Female
