,Date,Variable,Value,Gender
60,2004-12,Ages 25-34,0.168,All
64,2004-12,Ages 35-49,0.155,All
68,2004-12,Ages 50-64,0.342,All
72,2004-12,Ages 65+,0.938,All
76,2004-12,Ages 16-24,0.322,All
240,2005-03,Ages 25-34,0.16699999999999998,All
244,2005-03,Ages 35-49,0.154,All
248,2005-03,Ages 50-64,0.341,All
252,2005-03,Ages 65+,0.937,All
256,2005-03,Ages 16-24,0.322,All
420,2005-06,Ages 25-34,0.16699999999999998,All
424,2005-06,Ages 35-49,0.154,All
428,2005-06,Ages 50-64,0.34,All
432,2005-06,Ages 65+,0.938,All
436,2005-06,Ages 16-24,0.324,All
600,2005-09,Ages 25-34,0.166,All
604,2005-09,Ages 35-49,0.153,All
608,2005-09,Ages 50-64,0.33799999999999997,All
612,2005-09,Ages 65+,0.937,All
616,2005-09,Ages 16-24,0.324,All
780,2005-12,Ages 25-34,0.16699999999999998,All
784,2005-12,Ages 35-49,0.152,All
788,2005-12,Ages 50-64,0.337,All
792,2005-12,Ages 65+,0.937,All
796,2005-12,Ages 16-24,0.326,All
960,2006-03,Ages 25-34,0.16699999999999998,All
964,2006-03,Ages 35-49,0.152,All
968,2006-03,Ages 50-64,0.336,All
972,2006-03,Ages 65+,0.938,All
976,2006-03,Ages 16-24,0.32899999999999996,All
1140,2006-06,Ages 25-34,0.16399999999999998,All
1144,2006-06,Ages 35-49,0.15,All
1148,2006-06,Ages 50-64,0.332,All
1152,2006-06,Ages 65+,0.937,All
1156,2006-06,Ages 16-24,0.332,All
1320,2006-09,Ages 25-34,0.165,All
1324,2006-09,Ages 35-49,0.15,All
1328,2006-09,Ages 50-64,0.33299999999999996,All
1332,2006-09,Ages 65+,0.934,All
1336,2006-09,Ages 16-24,0.331,All
1500,2006-12,Ages 25-34,0.163,All
1504,2006-12,Ages 35-49,0.14800000000000002,All
1508,2006-12,Ages 50-64,0.331,All
1512,2006-12,Ages 65+,0.932,All
1516,2006-12,Ages 16-24,0.33,All
1680,2007-03,Ages 25-34,0.161,All
1684,2007-03,Ages 35-49,0.149,All
1688,2007-03,Ages 50-64,0.332,All
1692,2007-03,Ages 65+,0.932,All
1696,2007-03,Ages 16-24,0.32899999999999996,All
1860,2007-06,Ages 25-34,0.162,All
1864,2007-06,Ages 35-49,0.149,All
1868,2007-06,Ages 50-64,0.332,All
1872,2007-06,Ages 65+,0.9309999999999999,All
1876,2007-06,Ages 16-24,0.326,All
2040,2007-09,Ages 25-34,0.159,All
2044,2007-09,Ages 35-49,0.149,All
2048,2007-09,Ages 50-64,0.331,All
2052,2007-09,Ages 65+,0.932,All
2056,2007-09,Ages 16-24,0.336,All
2220,2007-12,Ages 25-34,0.16,All
2224,2007-12,Ages 35-49,0.15,All
2228,2007-12,Ages 50-64,0.331,All
2232,2007-12,Ages 65+,0.93,All
2236,2007-12,Ages 16-24,0.336,All
2400,2008-03,Ages 25-34,0.159,All
2404,2008-03,Ages 35-49,0.14800000000000002,All
2408,2008-03,Ages 50-64,0.32899999999999996,All
2412,2008-03,Ages 65+,0.929,All
2416,2008-03,Ages 16-24,0.337,All
2580,2008-06,Ages 25-34,0.158,All
2584,2008-06,Ages 35-49,0.14800000000000002,All
2588,2008-06,Ages 50-64,0.32899999999999996,All
2592,2008-06,Ages 65+,0.9279999999999999,All
2596,2008-06,Ages 16-24,0.33799999999999997,All
2760,2008-09,Ages 25-34,0.157,All
2764,2008-09,Ages 35-49,0.14800000000000002,All
2768,2008-09,Ages 50-64,0.32799999999999996,All
2772,2008-09,Ages 65+,0.927,All
2776,2008-09,Ages 16-24,0.33899999999999997,All
2940,2008-12,Ages 25-34,0.157,All
2944,2008-12,Ages 35-49,0.147,All
2948,2008-12,Ages 50-64,0.32799999999999996,All
2952,2008-12,Ages 65+,0.9259999999999999,All
2956,2008-12,Ages 16-24,0.342,All
3120,2009-03,Ages 25-34,0.157,All
3124,2009-03,Ages 35-49,0.146,All
3128,2009-03,Ages 50-64,0.327,All
