,Date,Variable,Value,Gender,Val2
60,2004-12,Ages 25-34,0.168,All,16.8
64,2004-12,Ages 35-49,0.155,All,15.5
68,2004-12,Ages 50-64,0.342,All,34.2
72,2004-12,Ages 65+,0.938,All,93.8
76,2004-12,Ages 16-24,0.322,All,32.2
240,2005-03,Ages 25-34,0.16699999999999998,All,16.7
244,2005-03,Ages 35-49,0.154,All,15.4
248,2005-03,Ages 50-64,0.341,All,34.1
252,2005-03,Ages 65+,0.937,All,93.7
256,2005-03,Ages 16-24,0.322,All,32.2
420,2005-06,Ages 25-34,0.16699999999999998,All,16.7
424,2005-06,Ages 35-49,0.154,All,15.4
428,2005-06,Ages 50-64,0.34,All,34.0
432,2005-06,Ages 65+,0.938,All,93.8
436,2005-06,Ages 16-24,0.324,All,32.4
600,2005-09,Ages 25-34,0.166,All,16.6
604,2005-09,Ages 35-49,0.153,All,15.3
608,2005-09,Ages 50-64,0.33799999999999997,All,33.8
612,2005-09,Ages 65+,0.937,All,93.7
616,2005-09,Ages 16-24,0.324,All,32.4
780,2005-12,Ages 25-34,0.16699999999999998,All,16.7
784,2005-12,Ages 35-49,0.152,All,15.2
788,2005-12,Ages 50-64,0.337,All,33.7
792,2005-12,Ages 65+,0.937,All,93.7
796,2005-12,Ages 16-24,0.326,All,32.6
960,2006-03,Ages 25-34,0.16699999999999998,All,16.7
964,2006-03,Ages 35-49,0.152,All,15.2
968,2006-03,Ages 50-64,0.336,All,33.6
972,2006-03,Ages 65+,0.938,All,93.8
976,2006-03,Ages 16-24,0.32899999999999996,All,32.9
1140,2006-06,Ages 25-34,0.16399999999999998,All,16.4
1144,2006-06,Ages 35-49,0.15,All,15.0
1148,2006-06,Ages 50-64,0.332,All,33.2
1152,2006-06,Ages 65+,0.937,All,93.7
1156,2006-06,Ages 16-24,0.332,All,33.2
1320,2006-09,Ages 25-34,0.165,All,16.5
1324,2006-09,Ages 35-49,0.15,All,15.0
1328,2006-09,Ages 50-64,0.33299999999999996,All,33.3
1332,2006-09,Ages 65+,0.934,All,93.4
1336,2006-09,Ages 16-24,0.331,All,33.1
1500,2006-12,Ages 25-34,0.163,All,16.3
1504,2006-12,Ages 35-49,0.14800000000000002,All,14.8
1508,2006-12,Ages 50-64,0.331,All,33.1
1512,2006-12,Ages 65+,0.932,All,93.2
1516,2006-12,Ages 16-24,0.33,All,33.0
1680,2007-03,Ages 25-34,0.161,All,16.1
1684,2007-03,Ages 35-49,0.149,All,14.9
1688,2007-03,Ages 50-64,0.332,All,33.2
1692,2007-03,Ages 65+,0.932,All,93.2
1696,2007-03,Ages 16-24,0.32899999999999996,All,32.9
1860,2007-06,Ages 25-34,0.162,All,16.2
1864,2007-06,Ages 35-49,0.149,All,14.9
