,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender
208,2004-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.9,Male
212,2004-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,53.6,Female
216,2004-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.1,Male
220,2004-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,46.4,Female
432,2005-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,30.4,Male
436,2005-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,54.9,Female
440,2005-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,69.6,Male
444,2005-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,45.1,Female
656,2005-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,31.5,Male
660,2005-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,56.0,Female
664,2005-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,68.5,Male
668,2005-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,44.0,Female
880,2005-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,30.7,Male
884,2005-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,57.1,Female
888,2005-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,69.3,Male
892,2005-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.9,Female
1104,2005-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,30.5,Male
1108,2005-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,55.2,Female
1112,2005-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,69.5,Male
1116,2005-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,44.8,Female
1328,2006-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,31.9,Male
1332,2006-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,54.6,Female
1336,2006-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,68.1,Male
1340,2006-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,45.4,Female
1552,2006-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,31.3,Male
1556,2006-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,52.7,Female
1560,2006-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,68.7,Male
1564,2006-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,47.3,Female
1776,2006-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,32.4,Male
1780,2006-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,52.9,Female
1784,2006-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,67.6,Male
1788,2006-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,47.1,Female
2000,2006-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,33.8,Male
2004,2006-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,52.5,Female
