,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender
216,2004-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.9,Male
220,2004-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.6,Female
440,2005-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.4,Male
444,2005-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,54.9,Female
664,2005-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,31.5,Male
668,2005-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,56.0,Female
888,2005-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.7,Male
892,2005-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.1,Female
1112,2005-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.5,Male
1116,2005-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,55.2,Female
1336,2006-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,31.9,Male
1340,2006-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,54.6,Female
1560,2006-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,31.3,Male
1564,2006-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.7,Female
1784,2006-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,32.4,Male
1788,2006-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.9,Female
2008,2006-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.8,Male
2012,2006-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.5,Female
2232,2007-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.5,Male
2236,2007-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.2,Female
2456,2007-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.2,Male
2460,2007-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,54.7,Female
2680,2007-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,34.2,Male
2684,2007-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.4,Female
2904,2007-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,34.5,Male
2908,2007-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,54.0,Female
3128,2008-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.3,Male
3132,2008-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.5,Female
3352,2008-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,34.5,Male
3356,2008-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.2,Female
3576,2008-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,34.6,Male
3580,2008-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.0,Female
3800,2008-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,34.9,Male
3804,2008-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.1,Female
4024,2009-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,36.1,Male
4028,2009-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,54.1,Female
4248,2009-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,36.4,Male
4252,2009-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.8,Female
4472,2009-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,35.7,Male
4476,2009-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.7,Female
4696,2009-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,35.3,Male
4700,2009-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.1,Female
4920,2010-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.6,Male
4924,2010-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.1,Female
5144,2010-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.9,Male
5148,2010-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.6,Female
5368,2010-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.9,Male
5372,2010-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.3,Female
5592,2010-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.7,Male
5596,2010-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,51.4,Female
5816,2011-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.2,Male
5820,2011-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,51.7,Female
6040,2011-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,28.6,Male
6044,2011-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,49.5,Female
6264,2011-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.5,Male
6268,2011-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,49.4,Female
6488,2011-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.7,Male
6492,2011-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,48.1,Female
6712,2012-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.2,Male
