,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender,obvs_dis
216,2004-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
220,2004-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.54,Female,0.54
440,2005-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
444,2005-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.55,Female,0.55
664,2005-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.32,Male,0.32
668,2005-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.56,Female,0.56
888,2005-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.31,Male,0.31
892,2005-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.57,Female,0.57
1112,2005-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
1116,2005-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.55,Female,0.55
1336,2006-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.32,Male,0.32
1340,2006-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.55,Female,0.55
1560,2006-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.31,Male,0.31
1564,2006-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,0.53
1784,2006-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.32,Male,0.32
1788,2006-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,0.53
2008,2006-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,0.34
2012,2006-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.52,Female,0.52
2232,2007-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,0.34
2236,2007-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.52,Female,0.52
2456,2007-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.33,Male,0.33
2460,2007-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.55,Female,0.55
2680,2007-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,0.34
2684,2007-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,0.53
2904,2007-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,0.34
2908,2007-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.54,Female,0.54
3128,2008-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.33,Male,0.33
3132,2008-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.54,Female,0.54
3352,2008-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,0.34
3356,2008-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,0.53
3576,2008-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.35,Male,0.35
3580,2008-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,0.53
3800,2008-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.35,Male,0.35
3804,2008-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,0.53
4024,2009-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.36,Male,0.36
4028,2009-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.54,Female,0.54
4248,2009-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.36,Male,0.36
4252,2009-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.54,Female,0.54
4472,2009-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.36,Male,0.36
4476,2009-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,0.53
4696,2009-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.35,Male,0.35
4700,2009-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,0.53
4920,2010-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,0.34
4924,2010-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.52,Female,0.52
5144,2010-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,0.34
5148,2010-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,0.53
5368,2010-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,0.34
5372,2010-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.52,Female,0.52
5592,2010-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.31,Male,0.31
5596,2010-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.51,Female,0.51
5816,2011-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,0.29
5820,2011-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.52,Female,0.52
6040,2011-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,0.29
6044,2011-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.5,Female,0.5
6264,2011-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
6268,2011-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.49,Female,0.49
6488,2011-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
6492,2011-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.48,Female,0.48
6712,2012-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
6716,2012-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.46,Female,0.46
6936,2012-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,0.29
6940,2012-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.45,Female,0.45
7160,2012-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
7164,2012-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.44,Female,0.44
7384,2012-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
7388,2012-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
7608,2013-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,0.29
7612,2013-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
7832,2013-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,0.29
7836,2013-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.44,Female,0.44
8056,2013-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
8060,2013-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
8280,2013-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
8284,2013-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
8504,2014-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
8508,2014-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
8728,2014-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
8732,2014-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
8952,2014-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
8956,2014-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
9176,2014-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
9180,2014-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
9400,2015-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
9404,2015-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
9624,2015-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
9628,2015-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
9848,2015-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
9852,2015-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,0.41
10072,2015-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
10076,2015-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,0.41
10296,2016-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
10300,2016-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
10520,2016-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
10524,2016-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,0.41
10744,2016-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
10748,2016-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
10968,2016-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
10972,2016-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,0.41
11192,2017-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
11196,2017-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
11416,2017-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
11420,2017-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
11640,2017-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
11644,2017-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
11864,2017-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
11868,2017-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
12088,2018-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
12092,2018-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,0.41
12312,2018-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.32,Male,0.32
12316,2018-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,0.41
12536,2018-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
12540,2018-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,0.41
12760,2018-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
12764,2018-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
12984,2019-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
12988,2019-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
13208,2019-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
13212,2019-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
13432,2019-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,0.29
13436,2019-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
13656,2019-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,0.29
13660,2019-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.38,Female,0.38
13880,2020-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
13884,2020-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
14104,2020-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
14108,2020-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
14328,2020-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
14332,2020-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
14552,2020-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.32,Male,0.32
14556,2020-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
14776,2021-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.33,Male,0.33
14780,2021-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
15000,2021-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.31,Male,0.31
15004,2021-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
15224,2021-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
15228,2021-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.37,Female,0.37
15448,2021-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
15452,2021-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.38,Female,0.38
15672,2022-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
15676,2022-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.37,Female,0.37
15896,2022-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,0.3
15900,2022-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.37,Female,0.37
16120,2022-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,0.29
16124,2022-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.38,Female,0.38
16344,2022-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
16348,2022-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.37,Female,0.37
16568,2023-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
16572,2023-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
