,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender
200,2004-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.28,Male
204,2004-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.44,Female
424,2005-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.28,Male
428,2005-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.44,Female
648,2005-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.28,Male
652,2005-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.44,Female
872,2005-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.28,Male
876,2005-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.43,Female
1096,2005-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
1100,2005-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.43,Female
1320,2006-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
1324,2006-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.43,Female
1544,2006-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
1548,2006-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.43,Female
1768,2006-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
1772,2006-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.43,Female
1992,2006-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
1996,2006-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female
2216,2007-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
2220,2007-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female
2440,2007-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
2444,2007-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female
2664,2007-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
2668,2007-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female
2888,2007-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
2892,2007-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female
3112,2008-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
3116,2008-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female
3336,2008-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
3340,2008-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.41,Female
3560,2008-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
3564,2008-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female
3784,2008-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
3788,2008-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female
4008,2009-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
4012,2009-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female
4232,2009-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
4236,2009-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female
4456,2009-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
4460,2009-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
4680,2009-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
4684,2009-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
4904,2010-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
4908,2010-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.38,Female
5128,2010-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
5132,2010-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
5352,2010-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
5356,2010-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
5576,2010-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
5580,2010-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female
5800,2011-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
5804,2011-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female
6024,2011-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
6028,2011-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female
6248,2011-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
6252,2011-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
6472,2011-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
6476,2011-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
6696,2012-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
6700,2012-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female
6920,2012-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
6924,2012-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
7144,2012-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
7148,2012-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
7368,2012-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
7372,2012-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
7592,2013-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
7596,2013-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
7816,2013-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
7820,2013-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
8040,2013-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
8044,2013-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female
8264,2013-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
8268,2013-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.37,Female
8488,2014-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
8492,2014-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.36,Female
8712,2014-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
8716,2014-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.36,Female
8936,2014-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
8940,2014-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.35,Female
9160,2014-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
9164,2014-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.35,Female
9384,2015-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
9388,2015-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female
9608,2015-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
9612,2015-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female
9832,2015-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male
9836,2015-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female
10056,2015-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male
10060,2015-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female
10280,2016-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male
10284,2016-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.35,Female
10504,2016-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.22,Male
10508,2016-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female
10728,2016-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.22,Male
10732,2016-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.35,Female
10952,2016-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.22,Male
10956,2016-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.35,Female
11176,2017-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
11180,2017-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female
11400,2017-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
11404,2017-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female
11624,2017-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
11628,2017-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female
11848,2017-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
11852,2017-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female
12072,2018-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.22,Male
12076,2018-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female
12296,2018-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male
12300,2018-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female
12520,2018-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male
12524,2018-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female
12744,2018-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male
12748,2018-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female
12968,2019-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
12972,2019-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
13192,2019-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
13196,2019-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
13416,2019-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
13420,2019-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female
13640,2019-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
13644,2019-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female
13864,2020-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male
13868,2020-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female
14088,2020-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
14092,2020-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.31,Female
14312,2020-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
14316,2020-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female
14536,2020-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male
14540,2020-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
14760,2021-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
14764,2021-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
14984,2021-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
14988,2021-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
15208,2021-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
15212,2021-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
15432,2021-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
15436,2021-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
15656,2022-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
15660,2022-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
15880,2022-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male
15884,2022-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
16104,2022-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
16108,2022-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
16328,2022-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male
16332,2022-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female
16552,2023-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male
16556,2023-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female
