,LOCATION,TIME,Trade,GDP,Continent
0,Australia,2000,3.668754,28312.859441,Oceania
1,Australia,2001,-1.987938,29546.415014,Oceania
2,Australia,2002,2.132359,30807.514079,Oceania
3,Australia,2003,4.989492,32391.486238,Oceania
4,Australia,2004,10.47409,34000.173773,Oceania
5,Australia,2005,4.628231,35659.125487,Oceania
6,Australia,2006,3.087969,37938.792079,Oceania
7,Australia,2007,4.413211,39687.44861,Oceania
8,Australia,2008,11.47949,40130.341686,Oceania
9,Australia,2009,-7.861965,41672.92375,Oceania
10,Australia,2010,10.16967,42816.42896,Oceania
11,Australia,2011,3.918202,44440.579478,Oceania
12,Australia,2012,-3.994216,43884.635595,Oceania
13,Australia,2013,2.053225,47763.2159,Oceania
14,Australia,2014,1.091779,47606.754929,Oceania
15,Australia,2015,-8.500823,47226.759745,Oceania
16,Australia,2016,-4.509134,50136.798381,Oceania
17,Australia,2017,2.402797,50706.489861,Oceania
18,Australia,2018,9.694968,53025.386896,Oceania
19,Australia,2019,0.2245402,52785.250556,Oceania
20,Austria,2000,-0.8344666,29381.672832,Europe
21,Austria,2001,8.097234,29708.48945,Europe
22,Austria,2002,0.8421702,31178.051444,Europe
23,Austria,2003,12.13553,32158.459529,Europe
24,Austria,2004,8.50959,33784.446804,Europe
25,Austria,2005,0.3555211,35024.557484,Europe
26,Austria,2006,0.1009955,37662.888035,Europe
27,Austria,2007,1.997061,39437.038795,Europe
28,Austria,2008,6.941861,41316.022642,Europe
29,Austria,2009,-12.30926,40927.556365,Europe
30,Austria,2010,-3.889393,42019.005887,Europe
31,Austria,2011,4.283945,44469.209642,Europe
32,Austria,2012,-2.466985,46477.655075,Europe
33,Austria,2013,2.622663,47936.677963,Europe
34,Austria,2014,2.990523,48813.534409,Europe
35,Austria,2015,-9.445352,49942.056293,Europe
36,Austria,2016,-1.330827,52665.087457,Europe
37,Austria,2017,4.224958,54188.360666,Europe
38,Austria,2018,4.759946,56956.110562,Europe
39,Austria,2019,1.764866,59719.612013,Europe
40,Belgium,2000,1.781105,27790.606306,Europe
41,Belgium,2001,4.841115,28792.401342,Europe
42,Belgium,2002,4.352718,30281.667989,Europe
43,Belgium,2003,3.01424,30934.823303,Europe
44,Belgium,2004,8.977746,32063.687224,Europe
45,Belgium,2005,1.649385,33176.680884,Europe
46,Belgium,2006,1.38834,35256.775979,Europe
47,Belgium,2007,5.006671,36794.811405,Europe
48,Belgium,2008,5.950203,37883.233422,Europe
49,Belgium,2009,-11.99965,37751.634063,Europe
50,Belgium,2010,-1.876791,39836.533412,Europe
51,Belgium,2011,7.807158,40943.343479,Europe
52,Belgium,2012,-0.1955444,42290.477674,Europe
53,Belgium,2013,3.202923,43672.712292,Europe
54,Belgium,2014,-0.650876,44929.933328,Europe
55,Belgium,2015,-10.9485,46201.685891,Europe
56,Belgium,2016,1.120054,48599.202676,Europe
57,Belgium,2017,0.5872622,50442.947518,Europe
58,Belgium,2018,5.944562,52530.84151,Europe
59,Belgium,2019,0.5482838,55804.713631,Europe
60,Canada,2000,6.566343,29362.289573,North America
61,Canada,2001,0.08124857,30231.005032,North America
62,Canada,2002,0.7892517,30963.222007,North America
63,Canada,2003,3.871085,32350.070882,North America
64,Canada,2004,3.816303,33925.89256,North America
65,Canada,2005,1.393206,36327.662059,North America
66,Canada,2006,-3.017256,38120.176792,North America
67,Canada,2007,1.829629,39575.324973,North America
68,Canada,2008,3.883126,40376.330167,North America
69,Canada,2009,-22.34091,38865.406022,North America
70,Canada,2010,6.790943,40099.497886,North America
71,Canada,2011,5.571005,41666.718851,North America
72,Canada,2012,0.6188881,42290.879082,North America
73,Canada,2013,1.443157,44298.514462,North America
74,Canada,2014,-0.7937496,45753.782936,North America
75,Canada,2015,-11.28334,44670.054374,North America
