,LOCATION,INDICATOR,TIME,Value
0,AUS,TRADEGOOD,1998-Q2,0.9357747
1,AUS,TRADEGOOD,1998-Q3,-6.062792
2,AUS,TRADEGOOD,1998-Q4,1.386934
3,AUS,TRADEGOOD,1999-Q1,-2.808625
4,AUS,TRADEGOOD,1999-Q2,-0.452597
5,AUS,TRADEGOOD,1999-Q3,6.145398
6,AUS,TRADEGOOD,1999-Q4,8.746231
7,AUS,TRADEGOOD,2000-Q1,3.668754
8,AUS,TRADEGOOD,2000-Q2,-0.7063956
9,AUS,TRADEGOOD,2000-Q3,2.227576
10,AUS,TRADEGOOD,2000-Q4,-0.6449606
11,AUS,TRADEGOOD,2001-Q1,-1.987938
12,AUS,TRADEGOOD,2001-Q2,3.655272
13,AUS,TRADEGOOD,2001-Q3,-1.828176
14,AUS,TRADEGOOD,2001-Q4,-3.726357
15,AUS,TRADEGOOD,2002-Q1,2.132359
16,AUS,TRADEGOOD,2002-Q2,3.912612
17,AUS,TRADEGOOD,2002-Q3,-0.265557
18,AUS,TRADEGOOD,2002-Q4,2.423842
19,AUS,TRADEGOOD,2003-Q1,4.989492
20,AUS,TRADEGOOD,2003-Q2,-3.591655
21,AUS,TRADEGOOD,2003-Q3,1.799018
22,AUS,TRADEGOOD,2003-Q4,9.366999
23,AUS,TRADEGOOD,2004-Q1,10.47409
24,AUS,TRADEGOOD,2004-Q2,2.032155
25,AUS,TRADEGOOD,2004-Q3,1.305855
26,AUS,TRADEGOOD,2004-Q4,7.866042
27,AUS,TRADEGOOD,2005-Q1,4.628231
28,AUS,TRADEGOOD,2005-Q2,10.6417
29,AUS,TRADEGOOD,2005-Q3,-0.6707253
30,AUS,TRADEGOOD,2005-Q4,5.073058
31,AUS,TRADEGOOD,2006-Q1,3.087969
32,AUS,TRADEGOOD,2006-Q2,5.972873
33,AUS,TRADEGOOD,2006-Q3,2.754081
34,AUS,TRADEGOOD,2006-Q4,3.336865
35,AUS,TRADEGOOD,2007-Q1,4.413211
36,AUS,TRADEGOOD,2007-Q2,2.186639
37,AUS,TRADEGOOD,2007-Q3,1.671812
38,AUS,TRADEGOOD,2007-Q4,6.559196
39,AUS,TRADEGOOD,2008-Q1,11.47949
40,AUS,TRADEGOOD,2008-Q2,15.37314
41,AUS,TRADEGOOD,2008-Q3,7.721379
42,AUS,TRADEGOOD,2008-Q4,-15.78366
43,AUS,TRADEGOOD,2009-Q1,-7.861965
44,AUS,TRADEGOOD,2009-Q2,-12.70346
45,AUS,TRADEGOOD,2009-Q3,6.422334
46,AUS,TRADEGOOD,2009-Q4,11.06848
47,AUS,TRADEGOOD,2010-Q1,10.16967
48,AUS,TRADEGOOD,2010-Q2,13.83266
49,AUS,TRADEGOOD,2010-Q3,4.62551
50,AUS,TRADEGOOD,2010-Q4,8.914992
51,AUS,TRADEGOOD,2011-Q1,3.918202
52,AUS,TRADEGOOD,2011-Q2,9.19057
53,AUS,TRADEGOOD,2011-Q3,6.615915
54,AUS,TRADEGOOD,2011-Q4,-4.220191
55,AUS,TRADEGOOD,2012-Q1,-3.994216
56,AUS,TRADEGOOD,2012-Q2,-1.524378
57,AUS,TRADEGOOD,2012-Q3,-3.471497
58,AUS,TRADEGOOD,2012-Q4,-0.008589785
59,AUS,TRADEGOOD,2013-Q1,2.053225
60,AUS,TRADEGOOD,2013-Q2,-1.081766
61,AUS,TRADEGOOD,2013-Q3,-2.710217
62,AUS,TRADEGOOD,2013-Q4,3.040228
63,AUS,TRADEGOOD,2014-Q1,1.091779
64,AUS,TRADEGOOD,2014-Q2,-4.942162
65,AUS,TRADEGOOD,2014-Q3,-2.476195
66,AUS,TRADEGOOD,2014-Q4,-6.64194
67,AUS,TRADEGOOD,2015-Q1,-8.500823
68,AUS,TRADEGOOD,2015-Q2,-7.582427
