,Date,month,yield,maturity
0,2023-07,1 Mo,0.054299999999999994,1
1,2023-12,1 Mo,0.0536,1
2,2023-11,1 Mo,0.0535,1
3,2023-10,1 Mo,0.053399999999999996,1
4,2023-06,1 Mo,0.053200000000000004,1
5,2023-05,1 Mo,0.0528,1
6,2023-03,1 Mo,0.0527,1
7,2023-09,1 Mo,0.0525,1
8,2023-08,1 Mo,0.0525,1
9,2023-02,1 Mo,0.0528,1
10,2023-01,1 Mo,0.053,1
11,2023-04,1 Mo,0.0576,1
12,2022-12,1 Mo,0.0412,1
13,2022-09,1 Mo,0.0381,1
14,2022-08,1 Mo,0.0375,1
15,2022-07,1 Mo,0.0379,1
16,2022-06,1 Mo,0.0387,1
17,2022-05,1 Mo,0.0393,1
18,2022-02,1 Mo,0.0391,1
19,2022-01,1 Mo,0.0404,1
20,2022-11,1 Mo,0.0407,1
21,2022-10,1 Mo,0.0371,1
22,2022-04,1 Mo,0.0373,1
23,2022-03,1 Mo,0.0375,1
24,2021-12,1 Mo,0.0006,1
25,2021-10,1 Mo,0.0003,1
26,2021-09,1 Mo,0.0003,1
27,2021-08,1 Mo,0.0004,1
28,2021-07,1 Mo,0.0005,1
29,2021-06,1 Mo,0.0005,1
30,2021-03,1 Mo,0.0004,1
31,2021-02,1 Mo,0.0005,1
32,2021-01,1 Mo,0.0009,1
33,2021-11,1 Mo,0.0011,1
34,2021-05,1 Mo,0.0005,1
35,2021-04,1 Mo,0.0005,1
36,2020-12,1 Mo,0.0008,1
37,2020-11,1 Mo,0.0008,1
38,2020-10,1 Mo,0.0007000000000000001,1
39,2020-09,1 Mo,0.0007000000000000001,1
40,2020-08,1 Mo,0.0008,1
41,2020-07,1 Mo,0.0009,1
42,2020-04,1 Mo,0.0007000000000000001,1
43,2020-03,1 Mo,0.0008,1
44,2020-02,1 Mo,0.0007000000000000001,1
45,2020-01,1 Mo,0.0007000000000000001,1
46,2020-06,1 Mo,0.001,1
47,2020-05,1 Mo,0.0009,1
48,2019-12,1 Mo,0.0148,1
49,2019-11,1 Mo,0.0154,1
50,2019-10,1 Mo,0.015300000000000001,1
51,2019-09,1 Mo,0.0154,1
52,2019-06,1 Mo,0.0152,1
53,2019-05,1 Mo,0.0152,1
54,2019-04,1 Mo,0.0159,1
55,2019-03,1 Mo,0.015600000000000001,1
56,2019-02,1 Mo,0.016,1
57,2019-08,1 Mo,0.015600000000000001,1
58,2019-07,1 Mo,0.015700000000000002,1
59,2019-01,1 Mo,0.0158,1
60,2018-12,1 Mo,0.024399999999999998,1
61,2018-11,1 Mo,0.022799999999999997,1
62,2018-10,1 Mo,0.0232,1
63,2018-07,1 Mo,0.0232,1
64,2018-06,1 Mo,0.0236,1
65,2018-04,1 Mo,0.023700000000000002,1
66,2018-03,1 Mo,0.023,1
67,2018-09,1 Mo,0.022099999999999998,1
68,2018-08,1 Mo,0.022099999999999998,1
69,2018-05,1 Mo,0.022000000000000002,1
70,2018-02,1 Mo,0.0219,1
71,2018-01,1 Mo,0.022099999999999998,1
72,2017-12,1 Mo,0.0128,1
73,2017-11,1 Mo,0.0118,1
74,2017-08,1 Mo,0.011399999999999999,1
75,2017-07,1 Mo,0.0116,1
76,2017-06,1 Mo,0.0118,1
77,2017-05,1 Mo,0.0121,1
78,2017-04,1 Mo,0.0116,1
79,2017-01,1 Mo,0.011399999999999999,1
80,2017-10,1 Mo,0.0106,1
81,2017-09,1 Mo,0.010700000000000001,1
82,2017-03,1 Mo,0.0102,1
83,2017-02,1 Mo,0.0102,1
84,2016-12,1 Mo,0.0044,1
85,2016-09,1 Mo,0.0040999999999999995,1
86,2016-08,1 Mo,0.0039000000000000003,1
87,2016-07,1 Mo,0.0038,1
88,2016-06,1 Mo,0.0034999999999999996,1
89,2016-05,1 Mo,0.0034000000000000002,1
90,2016-02,1 Mo,0.0034000000000000002,1
91,2016-01,1 Mo,0.0032,1
