,Date,month,yield,maturity
4665,2004,1 Mo,0.0206,1
9559,2004,2 Mo,0.0222,2
14453,2004,3 Mo,0.0222,3
19347,2004,4 Mo,0.024,4
24241,2004,6 Mo,0.024,6
29135,2004,1 Yr,0.026000000000000002,12
34029,2004,2 Yr,0.0301,24
38923,2004,3 Yr,0.032799999999999996,36
43817,2004,5 Yr,0.037200000000000004,60
48711,2004,7 Yr,0.0408,84
53605,2004,10 Yr,0.0438,120
58499,2004,20 Yr,0.0504,240
63393,2004,30 Yr,0.0504,360
4664,2004,1 Mo,0.0206,1
9558,2004,2 Mo,0.0222,2
14452,2004,3 Mo,0.0222,3
19346,2004,4 Mo,0.0241,4
24240,2004,6 Mo,0.0241,6
29134,2004,1 Yr,0.0262,12
34028,2004,2 Yr,0.0304,24
38922,2004,3 Yr,0.033,36
43816,2004,5 Yr,0.0375,60
48710,2004,7 Yr,0.040999999999999995,84
53604,2004,10 Yr,0.044000000000000004,120
58498,2004,20 Yr,0.0507,240
63392,2004,30 Yr,0.0507,360
4663,2004,1 Mo,0.0206,1
9557,2004,2 Mo,0.022099999999999998,2
14451,2004,3 Mo,0.022099999999999998,3
19345,2004,4 Mo,0.0239,4
24239,2004,6 Mo,0.0239,6
29133,2004,1 Yr,0.0258,12
34027,2004,2 Yr,0.0294,24
38921,2004,3 Yr,0.0319,36
43815,2004,5 Yr,0.0361,60
48709,2004,7 Yr,0.039599999999999996,84
53603,2004,10 Yr,0.042699999999999995,120
58497,2004,20 Yr,0.0495,240
63391,2004,30 Yr,0.0495,360
4682,2004,1 Mo,0.018500000000000003,1
9576,2004,2 Mo,0.019799999999999998,2
14470,2004,3 Mo,0.019799999999999998,3
19364,2004,4 Mo,0.0219,4
24258,2004,6 Mo,0.0219,6
29152,2004,1 Yr,0.023399999999999997,12
34046,2004,2 Yr,0.0263,24
38940,2004,3 Yr,0.028900000000000002,36
43834,2004,5 Yr,0.0337,60
48728,2004,7 Yr,0.037599999999999995,84
53622,2004,10 Yr,0.040999999999999995,120
58516,2004,20 Yr,0.0482,240
63410,2004,30 Yr,0.0482,360
4681,2004,1 Mo,0.018600000000000002,1
9575,2004,2 Mo,0.0203,2
14469,2004,3 Mo,0.0203,3
19363,2004,4 Mo,0.0227,4
24257,2004,6 Mo,0.0227,6
29151,2004,1 Yr,0.024399999999999998,12
34045,2004,2 Yr,0.027999999999999997,24
38939,2004,3 Yr,0.0304,36
43833,2004,5 Yr,0.0351,60
48727,2004,7 Yr,0.0388,84
53621,2004,10 Yr,0.0421,120
58515,2004,20 Yr,0.0492,240
63409,2004,30 Yr,0.0492,360
4662,2004,1 Mo,0.0209,1
9556,2004,2 Mo,0.0225,2
14450,2004,3 Mo,0.0225,3
19344,2004,4 Mo,0.024399999999999998,4
24238,2004,6 Mo,0.024399999999999998,6
29132,2004,1 Yr,0.026000000000000002,12
34026,2004,2 Yr,0.029300000000000003,24
