,Year,var,val
0,1950,A Population,2.477674732
1,1951,A Population,2.520969582
2,1952,A Population,2.565291179
3,1953,A Population,2.615250618
4,1954,A Population,2.665306975
5,1955,A Population,2.718651703
6,1956,A Population,2.773492579
7,1957,A Population,2.828512683
8,1958,A Population,2.88722103
9,1959,A Population,2.944995164
10,1960,A Population,2.995589212
11,1961,A Population,3.042877656
12,1962,A Population,3.093863563
13,1963,A Population,3.159509922
14,1964,A Population,3.232048572
15,1965,A Population,3.302376104
16,1966,A Population,3.371847862
17,1967,A Population,3.440986209
18,1968,A Population,3.509910122
19,1969,A Population,3.583711493
20,1970,A Population,3.657599057
21,1971,A Population,3.733181615
22,1972,A Population,3.807144569
23,1973,A Population,3.882457201
24,1974,A Population,3.958045806
25,1975,A Population,4.032988348
26,1976,A Population,4.105886113
27,1977,A Population,4.179125652
28,1978,A Population,4.252419327
29,1979,A Population,4.326896089
30,1980,A Population,4.404269653
31,1981,A Population,4.483745758
32,1982,A Population,4.565509559
33,1983,A Population,4.650460182
34,1984,A Population,4.733308294
35,1985,A Population,4.818363854
36,1986,A Population,4.905097372
37,1987,A Population,4.995029307
38,1988,A Population,5.086939683
39,1989,A Population,5.177648264
40,1990,A Population,5.269760352
41,1991,A Population,5.362591372
42,1992,A Population,5.449900363
43,1993,A Population,5.535471822
44,1994,A Population,5.619395224
45,1995,A Population,5.702060762
46,1996,A Population,5.784378146
47,1997,A Population,5.86591245
48,1998,A Population,5.947050072
49,1999,A Population,6.027574888
50,2000,A Population,6.107942028
51,2001,A Population,6.189855922
52,2002,A Population,6.271638043
53,2003,A Population,6.353176677
54,2004,A Population,6.434620053
55,2005,A Population,6.516882903
56,2006,A Population,6.599469335
57,2007,A Population,6.683363101
58,2008,A Population,6.768533988
59,2009,A Population,6.854660556
60,2010,A Population,6.94195126
61,2011,A Population,7.02925495
62,2012,A Population,7.1169959
63,2013,A Population,7.206399942
64,2014,A Population,7.294786798
65,2015,A Population,7.38324004
66,2016,A Population,7.469955033
67,2017,A Population,7.556993443
68,2018,A Population,7.642651364
69,2019,A Population,7.724928292
70,2020,A Population,7.804973773
71,2021,A Population,7.876931987
72,2022,A Population,7.941658316
73,2023,A Population,8.008551995
74,2024,A Population,8.0820709
75,2025,A Population,8.155601099
76,2026,A Population,8.228375807
77,2027,A Population,8.300353212
78,2028,A Population,8.37160213
79,2029,A Population,8.442055453
80,2030,A Population,8.511723329
81,2031,A Population,8.580559324
82,2032,A Population,8.648506165
83,2033,A Population,8.715677802
84,2034,A Population,8.781919281
85,2035,A Population,8.847231061
86,2036,A Population,8.911563741
87,2037,A Population,8.974849663
88,2038,A Population,9.037203076
89,2039,A Population,9.098574977
90,2040,A Population,9.158747453
91,2041,A Population,9.217753531
92,2042,A Population,9.27559307
93,2043,A Population,9.332200631
