Year,Annual Average Index,Annual Percent Change
1901,25,0.00%
1902,26,4.00%
1903,27,3.80%
1904,27,0.00%
1905,27,0.00%
1906,27,0.00%
1907,28,3.70%
1908,27,-3.60%
1909,27,0.00%
1910,28,3.70%
1911,28,0.00%
1912,29,3.60%
1913,29.7,2.40%
1914,30.1,1.30%
1915,30.4,0.90%
1916,32.7,7.70%
1917,38.5,17.80%
1918,45.2,17.30%
1919,52.1,15.20%
1920,60.2,15.60%
1921,53.6,-10.90%
1922,50.3,-6.20%
1923,51.2,1.80%
1924,51.5,0.40%
1925,52.7,2.40%
1926,53.2,0.90%
1927,52.2,-1.90%
1928,51.6,-1.20%
1929,51.6,0.00%
1930,50.2,-2.70%

