,date,Household Net Worth,Household Assets,Household Liabilities
0,2023 Jan,148835347,168453826,19618480
1,2022 Oct,145809853,165405347,19595493
2,2022 Jul,144190918,163565301,19374383
3,2022 Apr,147200382,166247026,19046644
4,2022 Jan,152593762,171276669,18682907
5,2021 Oct,150409798,168888920,18479122
6,2021 Jul,146015476,164091060,18075584
7,2021 Apr,142687698,160398550,17710852
8,2021 Jan,136391996,153747716,17355720
9,2020 Oct,131376375,148554352,17177976
10,2020 Jul,122993823,139909214,16915391
11,2020 Apr,118762553,135426126,16663573
12,2020 Jan,110913192,127576154,16662962
13,2019 Oct,116756644,133361430,16604786
14,2019 Jul,113244584,129655839,16411255
15,2019 Apr,112603008,128812539,16209531
16,2019 Jan,110411455,126416023,16004568
17,2018 Oct,104184810,120158437,15973627
18,2018 Jul,107957919,123801835,15843916
19,2018 Apr,105970460,121643597,15673137
20,2018 Jan,104737676,120281375,15543699
21,2017 Oct,103620208,119112254,15492047
22,2017 Jul,101055159,116349766,15294607
23,2017 Apr,99393201,114539220,15146019
24,2017 Jan,97319904,112309296,14989392
25,2016 Oct,94892884,109822961,14930077
26,2016 Jul,94344638,109171419,14826781
27,2016 Apr,92709634,107360714,14651080
28,2016 Jan,91115769,105630583,14514814
29,2015 Oct,89855914,104358360,14502446
30,2015 Jul,88307690,102796923,14489233
31,2015 Apr,89332726,103701388,14368662
32,2015 Jan,88667654,102906353,14238699
33,2014 Oct,86813140,101071820,14258680
34,2014 Jul,85186711,99374148,14187437
35,2014 Apr,84535248,98730496,14195248
36,2014 Jan,82426263,96549346,14123083
37,2013 Oct,80684519,94811097,14126578
38,2013 Jul,78506298,92459443,13953145
39,2013 Apr,75984961,89882010,13897049
40,2013 Jan,74861071,88736755,13875684
41,2012 Oct,72026024,85931220,13905196
42,2012 Jul,71021025,84955401,13934376
43,2012 Apr,69101575,83022290,13920715
44,2012 Jan,69051085,83000830,13949745
45,2011 Oct,67048901,81056831,14007930
46,2011 Jul,65622590,79635518,14012928
47,2011 Apr,67511108,81534812,14023704
48,2011 Jan,67178377,81251127,14072750
49,2010 Oct,66015250,80115813,14100563
50,2010 Jul,64330236,78444348,14114112
51,2010 Apr,62254030,76439792,14185762
52,2010 Jan,62821230,77075001,14253771
53,2009 Oct,61515660,75875274,14359614
54,2009 Jul,61363269,75730077,14366808
55,2009 Apr,59612240,73982634,14370394
56,2009 Jan,59334533,73725859,14391326
57,2008 Oct,61214253,75700273,14486020
58,2008 Jul,64267393,79009158,14741765
59,2008 Apr,66753506,81379133,14625627
60,2008 Jan,67958278,82627403,14669125
61,2007 Oct,70058480,84606914,14548434
62,2007 Jul,70778202,85129814,14351612
