,State,id, stusps,2022:Q3-:Q4
0,Alabama,01, AL,3.9
1,Alaska,02, AK,4.1
2,Arizona,04, AZ,3.2
3,Arkansas,05, AR,3.2
4,California,06, CA,2.4
5,Colorado,08, CO,2.7
6,Connecticut,09, CT,0.1
7,Delaware,10, DE,2.7
8,District of Columbia,11, DC,1.6
9,Florida,12, FL,3.7
10,Georgia,13, GA,3.4
11,Hawaii,15, HI,1.2
12,Idaho,16, ID,3.6
13,Illinois,17, IL,0.7
14,Indiana,18, IN,1.4
15,Iowa,19, IA,-1.2
16,Kansas,20, KS,0.7
17,Kentucky,21, KY,2.2
18,Louisiana,22, LA,2.2
19,Maine,23, ME,2.3
20,Maryland,24, MD,0.3
21,Massachusetts,25, MA,2.9
22,Michigan,26, MI,0.3
23,Minnesota,27, MN,1.3
24,Mississippi,28, MS,1.5
25,Missouri,29, MO,1.9
26,Montana,30, MT,1.3
27,Nebraska,31, NE,-3.4
28,Nevada,32, NV,5.3
29,New Hampshire,33, NH,2.5
30,New Jersey,34, NJ,1.1
31,New Mexico,35, NM,4.8
32,New York,36, NY,0.0
33,North Carolina,37, NC,3.2
34,North Dakota,38, ND,0.7
35,Ohio,39, OH,0.4
36,Oklahoma,40, OK,4.3
37,Oregon,41, OR,5.6
38,Pennsylvania,42, PA,3.2
39,Rhode Island,44, RI,0.4
40,South Carolina,45, SC,1.8
41,South Dakota,46, SD,-4.3
42,Tennessee,47, TN,4.3
43,Texas,48, TX,7.0
44,Utah,49, UT,4.2
45,Vermont,50, VT,2.2
46,Virginia,51, VA,2.1
47,Washington,53, WA,3.7
48,West Virginia,54, WV,5.2
49,Wisconsin,55, WI,1.1
50,Wyoming,56, WY,4.5
