,variable,value,date
114,16-24,115,2013 APR
0,25-34,220,2013 APR
38,35-49,630,2013 APR
76,50-64,1106,2013 APR
115,16-24,121,2013 JUL
1,25-34,191,2013 JUL
39,35-49,606,2013 JUL
77,50-64,1068,2013 JUL
116,16-24,120,2013 OCT
2,25-34,190,2013 OCT
40,35-49,646,2013 OCT
78,50-64,1085,2013 OCT
118,16-24,133,2014 APR
4,25-34,197,2014 APR
42,35-49,583,2014 APR
80,50-64,1086,2014 APR
117,16-24,138,2014 JAN
3,25-34,198,2014 JAN
41,35-49,582,2014 JAN
79,50-64,1066,2014 JAN
119,16-24,137,2014 JUL
5,25-34,224,2014 JUL
43,35-49,571,2014 JUL
81,50-64,1094,2014 JUL
120,16-24,142,2014 OCT
6,25-34,211,2014 OCT
44,35-49,575,2014 OCT
82,50-64,1105,2014 OCT
122,16-24,158,2015 APR
8,25-34,217,2015 APR
46,35-49,587,2015 APR
84,50-64,1130,2015 APR
121,16-24,150,2015 JAN
7,25-34,191,2015 JAN
45,35-49,573,2015 JAN
83,50-64,1099,2015 JAN
123,16-24,157,2015 JUL
9,25-34,222,2015 JUL
47,35-49,606,2015 JUL
85,50-64,1134,2015 JUL
124,16-24,145,2015 OCT
10,25-34,215,2015 OCT
48,35-49,593,2015 OCT
86,50-64,1118,2015 OCT
126,16-24,159,2016 APR
12,25-34,195,2016 APR
50,35-49,554,2016 APR
88,50-64,1140,2016 APR
125,16-24,160,2016 JAN
11,25-34,216,2016 JAN
49,35-49,576,2016 JAN
87,50-64,1136,2016 JAN
127,16-24,175,2016 JUL
13,25-34,202,2016 JUL
51,35-49,547,2016 JUL
89,50-64,1093,2016 JUL
128,16-24,159,2016 OCT
14,25-34,189,2016 OCT
52,35-49,540,2016 OCT
90,50-64,1066,2016 OCT
130,16-24,149,2017 APR
16,25-34,196,2017 APR
54,35-49,555,2017 APR
92,50-64,1086,2017 APR
129,16-24,152,2017 JAN
15,25-34,198,2017 JAN
53,35-49,551,2017 JAN
91,50-64,1078,2017 JAN
131,16-24,171,2017 JUL
17,25-34,221,2017 JUL
55,35-49,564,2017 JUL
93,50-64,1111,2017 JUL
132,16-24,151,2017 OCT
18,25-34,217,2017 OCT
56,35-49,534,2017 OCT
94,50-64,1092,2017 OCT
134,16-24,143,2018 APR
20,25-34,217,2018 APR
58,35-49,539,2018 APR
96,50-64,1146,2018 APR
133,16-24,135,2018 JAN
19,25-34,221,2018 JAN
57,35-49,518,2018 JAN
95,50-64,1092,2018 JAN
135,16-24,151,2018 JUL
21,25-34,225,2018 JUL
59,35-49,517,2018 JUL
97,50-64,1118,2018 JUL
136,16-24,148,2018 OCT
22,25-34,227,2018 OCT
60,35-49,508,2018 OCT
98,50-64,1122,2018 OCT
138,16-24,158,2019 APR
24,25-34,234,2019 APR
62,35-49,510,2019 APR
100,50-64,1137,2019 APR
137,16-24,148,2019 JAN
23,25-34,242,2019 JAN
61,35-49,498,2019 JAN
99,50-64,1106,2019 JAN
139,16-24,168,2019 JUL
25,25-34,236,2019 JUL
63,35-49,508,2019 JUL
101,50-64,1154,2019 JUL
140,16-24,184,2019 OCT
26,25-34,233,2019 OCT
64,35-49,501,2019 OCT
102,50-64,1156,2019 OCT
142,16-24,185,2020 APR
28,25-34,242,2020 APR
66,35-49,512,2020 APR
104,50-64,1193,2020 APR
141,16-24,191,2020 JAN
27,25-34,237,2020 JAN
65,35-49,516,2020 JAN
103,50-64,1171,2020 JAN
143,16-24,192,2020 JUL
29,25-34,258,2020 JUL
67,35-49,557,2020 JUL
105,50-64,1213,2020 JUL
144,16-24,196,2020 OCT
30,25-34,262,2020 OCT
68,35-49,555,2020 OCT
106,50-64,1219,2020 OCT
146,16-24,150,2021 APR
32,25-34,271,2021 APR
70,35-49,548,2021 APR
108,50-64,1223,2021 APR
145,16-24,175,2021 JAN
31,25-34,256,2021 JAN
69,35-49,563,2021 JAN
107,50-64,1205,2021 JAN
147,16-24,190,2021 JUL
33,25-34,299,2021 JUL
71,35-49,548,2021 JUL
109,50-64,1248,2021 JUL
148,16-24,202,2021 OCT
34,25-34,305,2021 OCT
72,35-49,550,2021 OCT
110,50-64,1272,2021 OCT
150,16-24,201,2022 APR
36,25-34,331,2022 APR
74,35-49,542,2022 APR
112,50-64,1320,2022 APR
149,16-24,203,2022 JAN
35,25-34,329,2022 JAN
73,35-49,536,2022 JAN
111,50-64,1238,2022 JAN
151,16-24,222,2022 JUL
37,25-34,348,2022 JUL
75,35-49,583,2022 JUL
113,50-64,1375,2022 JUL
