,25-34,35-49,50-64,16-24,date
0,220,630,"1,106",115,2013 Q2
1,191,606,"1,068",121,2013 Q3
2,190,646,"1,085",120,2013 Q4
3,198,582,"1,066",138,2014 Q1
4,197,583,"1,086",133,2014 Q2
5,224,571,"1,094",137,2014 Q3
6,211,575,"1,105",142,2014 Q4
7,191,573,"1,099",150,2015 Q1
8,217,587,"1,130",158,2015 Q2
9,222,606,"1,134",157,2015 Q3
10,215,593,"1,118",145,2015 Q4
11,216,576,"1,136",160,2016 Q1
12,195,554,"1,140",159,2016 Q2
13,202,547,"1,093",175,2016 Q3
14,189,540,"1,066",159,2016 Q4
15,198,551,"1,078",152,2017 Q1
16,196,555,"1,086",149,2017 Q2
17,221,564,"1,111",171,2017 Q3
18,217,534,"1,092",151,2017 Q4
19,221,518,"1,092",135,2018 Q1
20,217,539,"1,146",143,2018 Q2
21,225,517,"1,118",151,2018 Q3
22,227,508,"1,122",148,2018 Q4
23,242,498,"1,106",148,2019 Q1
24,234,510,"1,137",158,2019 Q2
25,236,508,"1,154",168,2019 Q3
26,233,501,"1,156",184,2019 Q4
27,237,516,"1,171",191,2020 Q1
28,242,512,"1,193",185,2020 Q2
29,258,557,"1,213",192,2020 Q3
30,262,555,"1,219",196,2020 Q4
31,256,563,"1,205",175,2021 Q1
32,271,548,"1,223",150,2021 Q2
33,299,548,"1,248",190,2021 Q3
34,305,550,"1,272",202,2021 Q4
35,329,536,"1,238",203,2022 Q1
36,331,542,"1,320",201,2022 Q2
37,348,583,"1,375",222,2022 Q3
