,DATE,Location,var,type,obs
0,2004-12,Northern Ireland,Inactivity Rate,Variable,0.7
28,2004-12,Northern Ireland,Inactivity Rate,Variable,0.7
36,2005-03,Northern Ireland,Inactivity Rate,Variable,0.69
64,2005-03,Northern Ireland,Inactivity Rate,Variable,0.69
72,2005-06,Northern Ireland,Inactivity Rate,Variable,0.69
100,2005-06,Northern Ireland,Inactivity Rate,Variable,0.69
108,2005-09,Northern Ireland,Inactivity Rate,Variable,0.7
136,2005-09,Northern Ireland,Inactivity Rate,Variable,0.7
144,2005-12,Northern Ireland,Inactivity Rate,Variable,0.7
172,2005-12,Northern Ireland,Inactivity Rate,Variable,0.7
180,2006-03,Northern Ireland,Inactivity Rate,Variable,0.71
208,2006-03,Northern Ireland,Inactivity Rate,Variable,0.71
216,2006-06,Northern Ireland,Inactivity Rate,Variable,0.71
244,2006-06,Northern Ireland,Inactivity Rate,Variable,0.71
252,2006-09,Northern Ireland,Inactivity Rate,Variable,0.7
280,2006-09,Northern Ireland,Inactivity Rate,Variable,0.7
288,2006-12,Northern Ireland,Inactivity Rate,Variable,0.7
316,2006-12,Northern Ireland,Inactivity Rate,Variable,0.7
324,2007-03,Northern Ireland,Inactivity Rate,Variable,0.71
352,2007-03,Northern Ireland,Inactivity Rate,Variable,0.71
360,2007-06,Northern Ireland,Inactivity Rate,Variable,0.71
388,2007-06,Northern Ireland,Inactivity Rate,Variable,0.71
396,2007-09,Northern Ireland,Inactivity Rate,Variable,0.71
424,2007-09,Northern Ireland,Inactivity Rate,Variable,0.71
432,2007-12,Northern Ireland,Inactivity Rate,Variable,0.72
460,2007-12,Northern Ireland,Inactivity Rate,Variable,0.72
468,2008-03,Northern Ireland,Inactivity Rate,Variable,0.72
496,2008-03,Northern Ireland,Inactivity Rate,Variable,0.72
504,2008-06,Northern Ireland,Inactivity Rate,Variable,0.71
532,2008-06,Northern Ireland,Inactivity Rate,Variable,0.71
540,2008-09,Northern Ireland,Inactivity Rate,Variable,0.71
568,2008-09,Northern Ireland,Inactivity Rate,Variable,0.71
576,2008-12,Northern Ireland,Inactivity Rate,Variable,0.71
604,2008-12,Northern Ireland,Inactivity Rate,Variable,0.71
612,2009-03,Northern Ireland,Inactivity Rate,Variable,0.7
640,2009-03,Northern Ireland,Inactivity Rate,Variable,0.7
648,2009-06,Northern Ireland,Inactivity Rate,Variable,0.69
676,2009-06,Northern Ireland,Inactivity Rate,Variable,0.69
684,2009-09,Northern Ireland,Inactivity Rate,Variable,0.7
712,2009-09,Northern Ireland,Inactivity Rate,Variable,0.7
720,2009-12,Northern Ireland,Inactivity Rate,Variable,0.7
748,2009-12,Northern Ireland,Inactivity Rate,Variable,0.7
756,2010-03,Northern Ireland,Inactivity Rate,Variable,0.7
784,2010-03,Northern Ireland,Inactivity Rate,Variable,0.7
792,2010-06,Northern Ireland,Inactivity Rate,Variable,0.7
820,2010-06,Northern Ireland,Inactivity Rate,Variable,0.7
828,2010-09,Northern Ireland,Inactivity Rate,Variable,0.7
856,2010-09,Northern Ireland,Inactivity Rate,Variable,0.7
864,2010-12,Northern Ireland,Inactivity Rate,Variable,0.71
892,2010-12,Northern Ireland,Inactivity Rate,Variable,0.71
900,2011-03,Northern Ireland,Inactivity Rate,Variable,0.71
928,2011-03,Northern Ireland,Inactivity Rate,Variable,0.71
936,2011-06,Northern Ireland,Inactivity Rate,Variable,0.72
964,2011-06,Northern Ireland,Inactivity Rate,Variable,0.72
972,2011-09,Northern Ireland,Inactivity Rate,Variable,0.72
1000,2011-09,Northern Ireland,Inactivity Rate,Variable,0.72
1008,2011-12,Northern Ireland,Inactivity Rate,Variable,0.72
1036,2011-12,Northern Ireland,Inactivity Rate,Variable,0.72
1044,2012-03,Northern Ireland,Inactivity Rate,Variable,0.73
1072,2012-03,Northern Ireland,Inactivity Rate,Variable,0.73
1080,2012-06,Northern Ireland,Inactivity Rate,Variable,0.73
1108,2012-06,Northern Ireland,Inactivity Rate,Variable,0.73
1116,2012-09,Northern Ireland,Inactivity Rate,Variable,0.73
1144,2012-09,Northern Ireland,Inactivity Rate,Variable,0.73
1152,2012-12,Northern Ireland,Inactivity Rate,Variable,0.72
1180,2012-12,Northern Ireland,Inactivity Rate,Variable,0.72
1188,2013-03,Northern Ireland,Inactivity Rate,Variable,0.72
1216,2013-03,Northern Ireland,Inactivity Rate,Variable,0.72
1224,2013-06,Northern Ireland,Inactivity Rate,Variable,0.72
1252,2013-06,Northern Ireland,Inactivity Rate,Variable,0.72
1260,2013-09,Northern Ireland,Inactivity Rate,Variable,0.72
1288,2013-09,Northern Ireland,Inactivity Rate,Variable,0.72
1296,2013-12,Northern Ireland,Inactivity Rate,Variable,0.72
1324,2013-12,Northern Ireland,Inactivity Rate,Variable,0.72
1332,2014-03,Northern Ireland,Inactivity Rate,Variable,0.72
1360,2014-03,Northern Ireland,Inactivity Rate,Variable,0.72
1368,2014-06,Northern Ireland,Inactivity Rate,Variable,0.72
1396,2014-06,Northern Ireland,Inactivity Rate,Variable,0.72
1404,2014-09,Northern Ireland,Inactivity Rate,Variable,0.73
1432,2014-09,Northern Ireland,Inactivity Rate,Variable,0.73
1440,2014-12,Northern Ireland,Inactivity Rate,Variable,0.72
1468,2014-12,Northern Ireland,Inactivity Rate,Variable,0.72
1476,2015-03,Northern Ireland,Inactivity Rate,Variable,0.73
1504,2015-03,Northern Ireland,Inactivity Rate,Variable,0.73
1512,2015-06,Northern Ireland,Inactivity Rate,Variable,0.73
1540,2015-06,Northern Ireland,Inactivity Rate,Variable,0.73
