,DATE,Location,var,type,obs
0,2004-12,Northern Ireland,Inactivity Rate,Variable,0.3
28,2004-12,Northern Ireland,Inactivity Rate,Variable,0.3
36,2005-03,Northern Ireland,Inactivity Rate,Variable,0.31
64,2005-03,Northern Ireland,Inactivity Rate,Variable,0.31
72,2005-06,Northern Ireland,Inactivity Rate,Variable,0.31
100,2005-06,Northern Ireland,Inactivity Rate,Variable,0.31
108,2005-09,Northern Ireland,Inactivity Rate,Variable,0.3
136,2005-09,Northern Ireland,Inactivity Rate,Variable,0.3
144,2005-12,Northern Ireland,Inactivity Rate,Variable,0.3
172,2005-12,Northern Ireland,Inactivity Rate,Variable,0.3
180,2006-03,Northern Ireland,Inactivity Rate,Variable,0.29
208,2006-03,Northern Ireland,Inactivity Rate,Variable,0.29
216,2006-06,Northern Ireland,Inactivity Rate,Variable,0.29
244,2006-06,Northern Ireland,Inactivity Rate,Variable,0.29
252,2006-09,Northern Ireland,Inactivity Rate,Variable,0.3
280,2006-09,Northern Ireland,Inactivity Rate,Variable,0.3
288,2006-12,Northern Ireland,Inactivity Rate,Variable,0.3
316,2006-12,Northern Ireland,Inactivity Rate,Variable,0.3
324,2007-03,Northern Ireland,Inactivity Rate,Variable,0.29
352,2007-03,Northern Ireland,Inactivity Rate,Variable,0.29
360,2007-06,Northern Ireland,Inactivity Rate,Variable,0.29
388,2007-06,Northern Ireland,Inactivity Rate,Variable,0.29
396,2007-09,Northern Ireland,Inactivity Rate,Variable,0.29
424,2007-09,Northern Ireland,Inactivity Rate,Variable,0.29
432,2007-12,Northern Ireland,Inactivity Rate,Variable,0.29
460,2007-12,Northern Ireland,Inactivity Rate,Variable,0.29
468,2008-03,Northern Ireland,Inactivity Rate,Variable,0.28
496,2008-03,Northern Ireland,Inactivity Rate,Variable,0.28
504,2008-06,Northern Ireland,Inactivity Rate,Variable,0.29
532,2008-06,Northern Ireland,Inactivity Rate,Variable,0.29
540,2008-09,Northern Ireland,Inactivity Rate,Variable,0.29
568,2008-09,Northern Ireland,Inactivity Rate,Variable,0.29
576,2008-12,Northern Ireland,Inactivity Rate,Variable,0.29
604,2008-12,Northern Ireland,Inactivity Rate,Variable,0.29
612,2009-03,Northern Ireland,Inactivity Rate,Variable,0.3
640,2009-03,Northern Ireland,Inactivity Rate,Variable,0.3
648,2009-06,Northern Ireland,Inactivity Rate,Variable,0.31
676,2009-06,Northern Ireland,Inactivity Rate,Variable,0.31
684,2009-09,Northern Ireland,Inactivity Rate,Variable,0.3
712,2009-09,Northern Ireland,Inactivity Rate,Variable,0.3
720,2009-12,Northern Ireland,Inactivity Rate,Variable,0.3
748,2009-12,Northern Ireland,Inactivity Rate,Variable,0.3
756,2010-03,Northern Ireland,Inactivity Rate,Variable,0.3
784,2010-03,Northern Ireland,Inactivity Rate,Variable,0.3
792,2010-06,Northern Ireland,Inactivity Rate,Variable,0.3
820,2010-06,Northern Ireland,Inactivity Rate,Variable,0.3
828,2010-09,Northern Ireland,Inactivity Rate,Variable,0.3
856,2010-09,Northern Ireland,Inactivity Rate,Variable,0.3
864,2010-12,Northern Ireland,Inactivity Rate,Variable,0.29
892,2010-12,Northern Ireland,Inactivity Rate,Variable,0.29
900,2011-03,Northern Ireland,Inactivity Rate,Variable,0.29
928,2011-03,Northern Ireland,Inactivity Rate,Variable,0.29
936,2011-06,Northern Ireland,Inactivity Rate,Variable,0.28
964,2011-06,Northern Ireland,Inactivity Rate,Variable,0.28
972,2011-09,Northern Ireland,Inactivity Rate,Variable,0.28
1000,2011-09,Northern Ireland,Inactivity Rate,Variable,0.28
1008,2011-12,Northern Ireland,Inactivity Rate,Variable,0.28
1036,2011-12,Northern Ireland,Inactivity Rate,Variable,0.28
1044,2012-03,Northern Ireland,Inactivity Rate,Variable,0.27
1072,2012-03,Northern Ireland,Inactivity Rate,Variable,0.27
1080,2012-06,Northern Ireland,Inactivity Rate,Variable,0.27
1108,2012-06,Northern Ireland,Inactivity Rate,Variable,0.27
1116,2012-09,Northern Ireland,Inactivity Rate,Variable,0.27
1144,2012-09,Northern Ireland,Inactivity Rate,Variable,0.27
1152,2012-12,Northern Ireland,Inactivity Rate,Variable,0.28
1180,2012-12,Northern Ireland,Inactivity Rate,Variable,0.28
1188,2013-03,Northern Ireland,Inactivity Rate,Variable,0.28
1216,2013-03,Northern Ireland,Inactivity Rate,Variable,0.28
1224,2013-06,Northern Ireland,Inactivity Rate,Variable,0.28
1252,2013-06,Northern Ireland,Inactivity Rate,Variable,0.28
1260,2013-09,Northern Ireland,Inactivity Rate,Variable,0.28
1288,2013-09,Northern Ireland,Inactivity Rate,Variable,0.28
1296,2013-12,Northern Ireland,Inactivity Rate,Variable,0.28
1324,2013-12,Northern Ireland,Inactivity Rate,Variable,0.28
1332,2014-03,Northern Ireland,Inactivity Rate,Variable,0.28
1360,2014-03,Northern Ireland,Inactivity Rate,Variable,0.28
1368,2014-06,Northern Ireland,Inactivity Rate,Variable,0.28
1396,2014-06,Northern Ireland,Inactivity Rate,Variable,0.28
1404,2014-09,Northern Ireland,Inactivity Rate,Variable,0.27
1432,2014-09,Northern Ireland,Inactivity Rate,Variable,0.27
1440,2014-12,Northern Ireland,Inactivity Rate,Variable,0.28
1468,2014-12,Northern Ireland,Inactivity Rate,Variable,0.28
1476,2015-03,Northern Ireland,Inactivity Rate,Variable,0.27
1504,2015-03,Northern Ireland,Inactivity Rate,Variable,0.27
1512,2015-06,Northern Ireland,Inactivity Rate,Variable,0.27
