DATE,obs,var
1992 APR,0.293,Inactivity Rate
1992 MAY,0.293,Inactivity Rate
1992 JUN,0.295,Inactivity Rate
1992 JUL,0.297,Inactivity Rate
1992 AUG,0.298,Inactivity Rate
1992 SEP,0.301,Inactivity Rate
1992 OCT,0.303,Inactivity Rate
1992 NOV,0.304,Inactivity Rate
1992 DEC,0.305,Inactivity Rate
1993 JAN,0.305,Inactivity Rate
1993 FEB,0.306,Inactivity Rate
1993 MAR,0.306,Inactivity Rate
1993 APR,0.309,Inactivity Rate
1993 MAY,0.309,Inactivity Rate
1993 JUN,0.311,Inactivity Rate
1993 JUL,0.313,Inactivity Rate
1993 AUG,0.314,Inactivity Rate
1993 SEP,0.316,Inactivity Rate
1993 OCT,0.317,Inactivity Rate
1993 NOV,0.318,Inactivity Rate
1993 DEC,0.318,Inactivity Rate
1994 JAN,0.318,Inactivity Rate
1994 FEB,0.319,Inactivity Rate
1994 MAR,0.32,Inactivity Rate
1994 APR,0.319,Inactivity Rate
1994 MAY,0.322,Inactivity Rate
1994 JUN,0.321,Inactivity Rate
1994 JUL,0.323,Inactivity Rate
1994 AUG,0.323,Inactivity Rate
1994 SEP,0.325,Inactivity Rate
1994 OCT,0.324,Inactivity Rate
1994 NOV,0.324,Inactivity Rate
1994 DEC,0.322,Inactivity Rate
1995 JAN,0.323,Inactivity Rate
1995 FEB,0.318,Inactivity Rate
1995 MAR,0.308,Inactivity Rate
1995 APR,0.308,Inactivity Rate
1995 MAY,0.309,Inactivity Rate
1995 JUN,0.307,Inactivity Rate
1995 JUL,0.306,Inactivity Rate
1995 AUG,0.305,Inactivity Rate
1995 SEP,0.298,Inactivity Rate
1995 OCT,0.297,Inactivity Rate
1995 NOV,0.295,Inactivity Rate
1995 DEC,0.294,Inactivity Rate
1996 JAN,0.296,Inactivity Rate
1996 FEB,0.295,Inactivity Rate
1996 MAR,0.297,Inactivity Rate
1996 APR,0.299,Inactivity Rate
1996 MAY,0.299,Inactivity Rate
1996 JUN,0.299,Inactivity Rate
1996 JUL,0.297,Inactivity Rate
1996 AUG,0.295,Inactivity Rate
1996 SEP,0.297,Inactivity Rate
1996 OCT,0.302,Inactivity Rate
1996 NOV,0.304,Inactivity Rate
1996 DEC,0.3,Inactivity Rate
1997 JAN,0.296,Inactivity Rate
1997 FEB,0.294,Inactivity Rate
1997 MAR,0.292,Inactivity Rate
1997 APR,0.294,Inactivity Rate
1997 MAY,0.285,Inactivity Rate
1997 JUN,0.287,Inactivity Rate
1997 JUL,0.284,Inactivity Rate
1997 AUG,0.279,Inactivity Rate
1997 SEP,0.278,Inactivity Rate
1997 OCT,0.278,Inactivity Rate
1997 NOV,0.281,Inactivity Rate
1997 DEC,0.285,Inactivity Rate
1998 JAN,0.289,Inactivity Rate
1998 FEB,0.289,Inactivity Rate
1998 MAR,0.292,Inactivity Rate
1998 APR,0.292,Inactivity Rate
1998 MAY,0.293,Inactivity Rate
1998 JUN,0.292,Inactivity Rate
1998 JUL,0.295,Inactivity Rate
1998 AUG,0.299,Inactivity Rate
1998 SEP,0.3,Inactivity Rate
1998 OCT,0.299,Inactivity Rate
1998 NOV,0.298,Inactivity Rate
1998 DEC,0.295,Inactivity Rate
1999 JAN,0.294,Inactivity Rate
1999 FEB,0.298,Inactivity Rate
1999 MAR,0.295,Inactivity Rate
1999 APR,0.295,Inactivity Rate
1999 MAY,0.294,Inactivity Rate
1999 JUN,0.295,Inactivity Rate
1999 JUL,0.296,Inactivity Rate
1999 AUG,0.296,Inactivity Rate
1999 SEP,0.298,Inactivity Rate
1999 OCT,0.303,Inactivity Rate
1999 NOV,0.301,Inactivity Rate
1999 DEC,0.301,Inactivity Rate
2000 JAN,0.302,Inactivity Rate
2000 FEB,0.303,Inactivity Rate
2000 MAR,0.317,Inactivity Rate
2000 APR,0.315,Inactivity Rate
2000 MAY,0.317,Inactivity Rate
