DATE,obs,var,obs2
1992 APR,0.293,Inactivity Rate,29.3
1992 MAY,0.293,Inactivity Rate,29.3
1992 JUN,0.295,Inactivity Rate,29.5
1992 JUL,0.297,Inactivity Rate,29.7
1992 AUG,0.298,Inactivity Rate,29.8
1992 SEP,0.301,Inactivity Rate,30.1
1992 OCT,0.303,Inactivity Rate,30.3
1992 NOV,0.304,Inactivity Rate,30.4
1992 DEC,0.305,Inactivity Rate,30.5
1993 JAN,0.305,Inactivity Rate,30.5
1993 FEB,0.306,Inactivity Rate,30.6
1993 MAR,0.306,Inactivity Rate,30.6
1993 APR,0.309,Inactivity Rate,30.9
1993 MAY,0.309,Inactivity Rate,30.9
1993 JUN,0.311,Inactivity Rate,31.1
1993 JUL,0.313,Inactivity Rate,31.3
1993 AUG,0.314,Inactivity Rate,31.4
1993 SEP,0.316,Inactivity Rate,31.6
1993 OCT,0.317,Inactivity Rate,31.7
1993 NOV,0.318,Inactivity Rate,31.8
1993 DEC,0.318,Inactivity Rate,31.8
1994 JAN,0.318,Inactivity Rate,31.8
1994 FEB,0.319,Inactivity Rate,31.9
1994 MAR,0.32,Inactivity Rate,32.0
1994 APR,0.319,Inactivity Rate,31.9
1994 MAY,0.322,Inactivity Rate,32.2
1994 JUN,0.321,Inactivity Rate,32.1
1994 JUL,0.323,Inactivity Rate,32.3
1994 AUG,0.323,Inactivity Rate,32.3
1994 SEP,0.325,Inactivity Rate,32.5
1994 OCT,0.324,Inactivity Rate,32.4
1994 NOV,0.324,Inactivity Rate,32.4
1994 DEC,0.322,Inactivity Rate,32.2
1995 JAN,0.323,Inactivity Rate,32.3
1995 FEB,0.318,Inactivity Rate,31.8
1995 MAR,0.308,Inactivity Rate,30.8
1995 APR,0.308,Inactivity Rate,30.8
1995 MAY,0.309,Inactivity Rate,30.9
1995 JUN,0.307,Inactivity Rate,30.7
1995 JUL,0.306,Inactivity Rate,30.6
1995 AUG,0.305,Inactivity Rate,30.5
1995 SEP,0.298,Inactivity Rate,29.8
1995 OCT,0.297,Inactivity Rate,29.7
1995 NOV,0.295,Inactivity Rate,29.5
1995 DEC,0.294,Inactivity Rate,29.4
1996 JAN,0.296,Inactivity Rate,29.6
1996 FEB,0.295,Inactivity Rate,29.5
1996 MAR,0.297,Inactivity Rate,29.7
1996 APR,0.299,Inactivity Rate,29.9
1996 MAY,0.299,Inactivity Rate,29.9
1996 JUN,0.299,Inactivity Rate,29.9
1996 JUL,0.297,Inactivity Rate,29.7
1996 AUG,0.295,Inactivity Rate,29.5
1996 SEP,0.297,Inactivity Rate,29.7
1996 OCT,0.302,Inactivity Rate,30.2
1996 NOV,0.304,Inactivity Rate,30.4
1996 DEC,0.3,Inactivity Rate,30.0
1997 JAN,0.296,Inactivity Rate,29.6
1997 FEB,0.294,Inactivity Rate,29.4
1997 MAR,0.292,Inactivity Rate,29.2
1997 APR,0.294,Inactivity Rate,29.4
1997 MAY,0.285,Inactivity Rate,28.5
1997 JUN,0.287,Inactivity Rate,28.7
1997 JUL,0.284,Inactivity Rate,28.4
1997 AUG,0.279,Inactivity Rate,27.9
1997 SEP,0.278,Inactivity Rate,27.8
1997 OCT,0.278,Inactivity Rate,27.8
1997 NOV,0.281,Inactivity Rate,28.1
1997 DEC,0.285,Inactivity Rate,28.5
1998 JAN,0.289,Inactivity Rate,28.9
1998 FEB,0.289,Inactivity Rate,28.9
1998 MAR,0.292,Inactivity Rate,29.2
1998 APR,0.292,Inactivity Rate,29.2
1998 MAY,0.293,Inactivity Rate,29.3
1998 JUN,0.292,Inactivity Rate,29.2
1998 JUL,0.295,Inactivity Rate,29.5
1998 AUG,0.299,Inactivity Rate,29.9
1998 SEP,0.3,Inactivity Rate,30.0
1998 OCT,0.299,Inactivity Rate,29.9
1998 NOV,0.298,Inactivity Rate,29.8
1998 DEC,0.295,Inactivity Rate,29.5
1999 JAN,0.294,Inactivity Rate,29.4
1999 FEB,0.298,Inactivity Rate,29.8
1999 MAR,0.295,Inactivity Rate,29.5
1999 APR,0.295,Inactivity Rate,29.5
1999 MAY,0.294,Inactivity Rate,29.4
1999 JUN,0.295,Inactivity Rate,29.5
1999 JUL,0.296,Inactivity Rate,29.6
1999 AUG,0.296,Inactivity Rate,29.6
1999 SEP,0.298,Inactivity Rate,29.8
1999 OCT,0.303,Inactivity Rate,30.3
1999 NOV,0.301,Inactivity Rate,30.1
1999 DEC,0.301,Inactivity Rate,30.1
2000 JAN,0.302,Inactivity Rate,30.2
2000 FEB,0.303,Inactivity Rate,30.3
2000 MAR,0.317,Inactivity Rate,31.7
2000 APR,0.315,Inactivity Rate,31.5
2000 MAY,0.317,Inactivity Rate,31.7
2000 JUN,0.319,Inactivity Rate,31.9
2000 JUL,0.317,Inactivity Rate,31.7
2000 AUG,0.313,Inactivity Rate,31.3
2000 SEP,0.309,Inactivity Rate,30.9
2000 OCT,0.305,Inactivity Rate,30.5
2000 NOV,0.303,Inactivity Rate,30.3
2000 DEC,0.299,Inactivity Rate,29.9
2001 JAN,0.306,Inactivity Rate,30.6
2001 FEB,0.306,Inactivity Rate,30.6
2001 MAR,0.305,Inactivity Rate,30.5
2001 APR,0.298,Inactivity Rate,29.8
2001 MAY,0.298,Inactivity Rate,29.8
2001 JUN,0.291,Inactivity Rate,29.1
2001 JUL,0.29,Inactivity Rate,29.0
2001 AUG,0.291,Inactivity Rate,29.1
2001 SEP,0.295,Inactivity Rate,29.5
2001 OCT,0.301,Inactivity Rate,30.1
2001 NOV,0.305,Inactivity Rate,30.5
2001 DEC,0.31,Inactivity Rate,31.0
2002 JAN,0.308,Inactivity Rate,30.8
2002 FEB,0.304,Inactivity Rate,30.4
2002 MAR,0.3,Inactivity Rate,30.0
2002 APR,0.3,Inactivity Rate,30.0
2002 MAY,0.299,Inactivity Rate,29.9
2002 JUN,0.301,Inactivity Rate,30.1
2002 JUL,0.297,Inactivity Rate,29.7
2002 AUG,0.296,Inactivity Rate,29.6
2002 SEP,0.295,Inactivity Rate,29.5
2002 OCT,0.293,Inactivity Rate,29.3
2002 NOV,0.289,Inactivity Rate,28.9
2002 DEC,0.284,Inactivity Rate,28.4
2003 JAN,0.281,Inactivity Rate,28.1
2003 FEB,0.275,Inactivity Rate,27.5
2003 MAR,0.275,Inactivity Rate,27.5
2003 APR,0.279,Inactivity Rate,27.9
2003 MAY,0.287,Inactivity Rate,28.7
2003 JUN,0.291,Inactivity Rate,29.1
2003 JUL,0.294,Inactivity Rate,29.4
2003 AUG,0.293,Inactivity Rate,29.3
2003 SEP,0.295,Inactivity Rate,29.5
2003 OCT,0.298,Inactivity Rate,29.8
2003 NOV,0.303,Inactivity Rate,30.3
