,DATE2,MEASURES_NAME,Group,obvs,id,type
4,2004-12,% Inactive,Male inactive due to temporary illness,0.044000000000000004,2004-12 temp,Inactivity due to illness
8,2004-12,% Inactive,Male inactive due to long-term illness,0.44799999999999995,2004-12 long-term,Inactivity due to illness
24,2005-03,% Inactive,Male inactive due to temporary illness,0.043,2005-03 temp,Inactivity due to illness
28,2005-03,% Inactive,Male inactive due to long-term illness,0.436,2005-03 long-term,Inactivity due to illness
44,2005-06,% Inactive,Male inactive due to temporary illness,0.042,2005-06 temp,Inactivity due to illness
48,2005-06,% Inactive,Male inactive due to long-term illness,0.44299999999999995,2005-06 long-term,Inactivity due to illness
64,2005-09,% Inactive,Male inactive due to temporary illness,0.040999999999999995,2005-09 temp,Inactivity due to illness
68,2005-09,% Inactive,Male inactive due to long-term illness,0.436,2005-09 long-term,Inactivity due to illness
84,2005-12,% Inactive,Male inactive due to temporary illness,0.036000000000000004,2005-12 temp,Inactivity due to illness
88,2005-12,% Inactive,Male inactive due to long-term illness,0.433,2005-12 long-term,Inactivity due to illness
104,2006-03,% Inactive,Male inactive due to temporary illness,0.043,2006-03 temp,Inactivity due to illness
108,2006-03,% Inactive,Male inactive due to long-term illness,0.431,2006-03 long-term,Inactivity due to illness
124,2006-06,% Inactive,Male inactive due to temporary illness,0.035,2006-06 temp,Inactivity due to illness
128,2006-06,% Inactive,Male inactive due to long-term illness,0.41600000000000004,2006-06 long-term,Inactivity due to illness
144,2006-09,% Inactive,Male inactive due to temporary illness,0.033,2006-09 temp,Inactivity due to illness
148,2006-09,% Inactive,Male inactive due to long-term illness,0.42200000000000004,2006-09 long-term,Inactivity due to illness
164,2006-12,% Inactive,Male inactive due to temporary illness,0.037000000000000005,2006-12 temp,Inactivity due to illness
168,2006-12,% Inactive,Male inactive due to long-term illness,0.41200000000000003,2006-12 long-term,Inactivity due to illness
184,2007-03,% Inactive,Male inactive due to temporary illness,0.035,2007-03 temp,Inactivity due to illness
188,2007-03,% Inactive,Male inactive due to long-term illness,0.41600000000000004,2007-03 long-term,Inactivity due to illness
204,2007-06,% Inactive,Male inactive due to temporary illness,0.038,2007-06 temp,Inactivity due to illness
208,2007-06,% Inactive,Male inactive due to long-term illness,0.428,2007-06 long-term,Inactivity due to illness
224,2007-09,% Inactive,Male inactive due to temporary illness,0.042,2007-09 temp,Inactivity due to illness
228,2007-09,% Inactive,Male inactive due to long-term illness,0.436,2007-09 long-term,Inactivity due to illness
244,2007-12,% Inactive,Male inactive due to temporary illness,0.036000000000000004,2007-12 temp,Inactivity due to illness
248,2007-12,% Inactive,Male inactive due to long-term illness,0.45899999999999996,2007-12 long-term,Inactivity due to illness
264,2008-03,% Inactive,Male inactive due to temporary illness,0.03,2008-03 temp,Inactivity due to illness
268,2008-03,% Inactive,Male inactive due to long-term illness,0.456,2008-03 long-term,Inactivity due to illness
284,2008-06,% Inactive,Male inactive due to temporary illness,0.027999999999999997,2008-06 temp,Inactivity due to illness
288,2008-06,% Inactive,Male inactive due to long-term illness,0.446,2008-06 long-term,Inactivity due to illness
304,2008-09,% Inactive,Male inactive due to temporary illness,0.027000000000000003,2008-09 temp,Inactivity due to illness
308,2008-09,% Inactive,Male inactive due to long-term illness,0.42200000000000004,2008-09 long-term,Inactivity due to illness
324,2008-12,% Inactive,Male inactive due to temporary illness,0.022000000000000002,2008-12 temp,Inactivity due to illness
328,2008-12,% Inactive,Male inactive due to long-term illness,0.429,2008-12 long-term,Inactivity due to illness
344,2009-03,% Inactive,Male inactive due to temporary illness,0.027000000000000003,2009-03 temp,Inactivity due to illness
