,DATE2,MEASURES_NAME,Group,obvs,id,type
5,2004-12,Number of Inactive,Male Inactivity due to illness,5000,2004-12 temp,Male Inactivity due to illness
9,2004-12,Number of Inactive,Male Inactivity due to illness,51300,2004-12 long-term,Male Inactivity due to illness
25,2005-03,Number of Inactive,Male Inactivity due to illness,5100,2005-03 temp,Male Inactivity due to illness
29,2005-03,Number of Inactive,Male Inactivity due to illness,51900,2005-03 long-term,Male Inactivity due to illness
45,2005-06,Number of Inactive,Male Inactivity due to illness,5200,2005-06 temp,Male Inactivity due to illness
49,2005-06,Number of Inactive,Male Inactivity due to illness,54000,2005-06 long-term,Male Inactivity due to illness
65,2005-09,Number of Inactive,Male Inactivity due to illness,4800,2005-09 temp,Male Inactivity due to illness
69,2005-09,Number of Inactive,Male Inactivity due to illness,50800,2005-09 long-term,Male Inactivity due to illness
85,2005-12,Number of Inactive,Male Inactivity due to illness,4200,2005-12 temp,Male Inactivity due to illness
89,2005-12,Number of Inactive,Male Inactivity due to illness,50500,2005-12 long-term,Male Inactivity due to illness
105,2006-03,Number of Inactive,Male Inactivity due to illness,4900,2006-03 temp,Male Inactivity due to illness
109,2006-03,Number of Inactive,Male Inactivity due to illness,50000,2006-03 long-term,Male Inactivity due to illness
125,2006-06,Number of Inactive,Male Inactivity due to illness,3900,2006-06 temp,Male Inactivity due to illness
129,2006-06,Number of Inactive,Male Inactivity due to illness,46900,2006-06 long-term,Male Inactivity due to illness
145,2006-09,Number of Inactive,Male Inactivity due to illness,3900,2006-09 temp,Male Inactivity due to illness
149,2006-09,Number of Inactive,Male Inactivity due to illness,50600,2006-09 long-term,Male Inactivity due to illness
165,2006-12,Number of Inactive,Male Inactivity due to illness,4500,2006-12 temp,Male Inactivity due to illness
169,2006-12,Number of Inactive,Male Inactivity due to illness,50000,2006-12 long-term,Male Inactivity due to illness
185,2007-03,Number of Inactive,Male Inactivity due to illness,4100,2007-03 temp,Male Inactivity due to illness
189,2007-03,Number of Inactive,Male Inactivity due to illness,49900,2007-03 long-term,Male Inactivity due to illness
205,2007-06,Number of Inactive,Male Inactivity due to illness,4400,2007-06 temp,Male Inactivity due to illness
209,2007-06,Number of Inactive,Male Inactivity due to illness,50100,2007-06 long-term,Male Inactivity due to illness
225,2007-09,Number of Inactive,Male Inactivity due to illness,4900,2007-09 temp,Male Inactivity due to illness
229,2007-09,Number of Inactive,Male Inactivity due to illness,51400,2007-09 long-term,Male Inactivity due to illness
245,2007-12,Number of Inactive,Male Inactivity due to illness,4300,2007-12 temp,Male Inactivity due to illness
249,2007-12,Number of Inactive,Male Inactivity due to illness,55000,2007-12 long-term,Male Inactivity due to illness
265,2008-03,Number of Inactive,Male Inactivity due to illness,3400,2008-03 temp,Male Inactivity due to illness
269,2008-03,Number of Inactive,Male Inactivity due to illness,52900,2008-03 long-term,Male Inactivity due to illness
285,2008-06,Number of Inactive,Male Inactivity due to illness,3400,2008-06 temp,Male Inactivity due to illness
289,2008-06,Number of Inactive,Male Inactivity due to illness,53100,2008-06 long-term,Male Inactivity due to illness
305,2008-09,Number of Inactive,Male Inactivity due to illness,3300,2008-09 temp,Male Inactivity due to illness
309,2008-09,Number of Inactive,Male Inactivity due to illness,51600,2008-09 long-term,Male Inactivity due to illness
325,2008-12,Number of Inactive,Male Inactivity due to illness,2700,2008-12 temp,Male Inactivity due to illness
329,2008-12,Number of Inactive,Male Inactivity due to illness,53000,2008-12 long-term,Male Inactivity due to illness
345,2009-03,Number of Inactive,Male Inactivity due to illness,3600,2009-03 temp,Male Inactivity due to illness
349,2009-03,Number of Inactive,Male Inactivity due to illness,55000,2009-03 long-term,Male Inactivity due to illness
365,2009-06,Number of Inactive,Male Inactivity due to illness,4900,2009-06 temp,Male Inactivity due to illness
369,2009-06,Number of Inactive,Male Inactivity due to illness,56700,2009-06 long-term,Male Inactivity due to illness
385,2009-09,Number of Inactive,Male Inactivity due to illness,4300,2009-09 temp,Male Inactivity due to illness
389,2009-09,Number of Inactive,Male Inactivity due to illness,57900,2009-09 long-term,Male Inactivity due to illness
405,2009-12,Number of Inactive,Male Inactivity due to illness,4100,2009-12 temp,Male Inactivity due to illness
409,2009-12,Number of Inactive,Male Inactivity due to illness,54500,2009-12 long-term,Male Inactivity due to illness
425,2010-03,Number of Inactive,Male Inactivity due to illness,3500,2010-03 temp,Male Inactivity due to illness
429,2010-03,Number of Inactive,Male Inactivity due to illness,53500,2010-03 long-term,Male Inactivity due to illness
445,2010-06,Number of Inactive,Male Inactivity due to illness,1900,2010-06 temp,Male Inactivity due to illness
449,2010-06,Number of Inactive,Male Inactivity due to illness,52300,2010-06 long-term,Male Inactivity due to illness
465,2010-09,Number of Inactive,Male Inactivity due to illness,2100,2010-09 temp,Male Inactivity due to illness
469,2010-09,Number of Inactive,Male Inactivity due to illness,52000,2010-09 long-term,Male Inactivity due to illness
485,2010-12,Number of Inactive,Male Inactivity due to illness,2000,2010-12 temp,Male Inactivity due to illness
489,2010-12,Number of Inactive,Male Inactivity due to illness,50400,2010-12 long-term,Male Inactivity due to illness
505,2011-03,Number of Inactive,Male Inactivity due to illness,1800,2011-03 temp,Male Inactivity due to illness
509,2011-03,Number of Inactive,Male Inactivity due to illness,45100,2011-03 long-term,Male Inactivity due to illness
525,2011-06,Number of Inactive,Male Inactivity due to illness,2100,2011-06 temp,Male Inactivity due to illness
529,2011-06,Number of Inactive,Male Inactivity due to illness,49100,2011-06 long-term,Male Inactivity due to illness
545,2011-09,Number of Inactive,Male Inactivity due to illness,2000,2011-09 temp,Male Inactivity due to illness
549,2011-09,Number of Inactive,Male Inactivity due to illness,48200,2011-09 long-term,Male Inactivity due to illness
565,2011-12,Number of Inactive,Male Inactivity due to illness,3300,2011-12 temp,Male Inactivity due to illness
569,2011-12,Number of Inactive,Male Inactivity due to illness,49700,2011-12 long-term,Male Inactivity due to illness
585,2012-03,Number of Inactive,Male Inactivity due to illness,3700,2012-03 temp,Male Inactivity due to illness
589,2012-03,Number of Inactive,Male Inactivity due to illness,49800,2012-03 long-term,Male Inactivity due to illness
605,2012-06,Number of Inactive,Male Inactivity due to illness,4200,2012-06 temp,Male Inactivity due to illness
609,2012-06,Number of Inactive,Male Inactivity due to illness,46700,2012-06 long-term,Male Inactivity due to illness
625,2012-09,Number of Inactive,Male Inactivity due to illness,4000,2012-09 temp,Male Inactivity due to illness
629,2012-09,Number of Inactive,Male Inactivity due to illness,46500,2012-09 long-term,Male Inactivity due to illness
645,2012-12,Number of Inactive,Male Inactivity due to illness,3900,2012-12 temp,Male Inactivity due to illness
649,2012-12,Number of Inactive,Male Inactivity due to illness,44500,2012-12 long-term,Male Inactivity due to illness
665,2013-03,Number of Inactive,Male Inactivity due to illness,4200,2013-03 temp,Male Inactivity due to illness
669,2013-03,Number of Inactive,Male Inactivity due to illness,45500,2013-03 long-term,Male Inactivity due to illness
685,2013-06,Number of Inactive,Male Inactivity due to illness,3200,2013-06 temp,Male Inactivity due to illness
689,2013-06,Number of Inactive,Male Inactivity due to illness,45200,2013-06 long-term,Male Inactivity due to illness
705,2013-09,Number of Inactive,Male Inactivity due to illness,4300,2013-09 temp,Male Inactivity due to illness
709,2013-09,Number of Inactive,Male Inactivity due to illness,42700,2013-09 long-term,Male Inactivity due to illness
725,2013-12,Number of Inactive,Male Inactivity due to illness,3500,2013-12 temp,Male Inactivity due to illness
729,2013-12,Number of Inactive,Male Inactivity due to illness,44200,2013-12 long-term,Male Inactivity due to illness
745,2014-03,Number of Inactive,Male Inactivity due to illness,3100,2014-03 temp,Male Inactivity due to illness
749,2014-03,Number of Inactive,Male Inactivity due to illness,46800,2014-03 long-term,Male Inactivity due to illness
765,2014-06,Number of Inactive,Male Inactivity due to illness,3200,2014-06 temp,Male Inactivity due to illness
769,2014-06,Number of Inactive,Male Inactivity due to illness,47000,2014-06 long-term,Male Inactivity due to illness
785,2014-09,Number of Inactive,Male Inactivity due to illness,2600,2014-09 temp,Male Inactivity due to illness
789,2014-09,Number of Inactive,Male Inactivity due to illness,46400,2014-09 long-term,Male Inactivity due to illness
805,2014-12,Number of Inactive,Male Inactivity due to illness,3200,2014-12 temp,Male Inactivity due to illness
809,2014-12,Number of Inactive,Male Inactivity due to illness,49400,2014-12 long-term,Male Inactivity due to illness
825,2015-03,Number of Inactive,Male Inactivity due to illness,4100,2015-03 temp,Male Inactivity due to illness
829,2015-03,Number of Inactive,Male Inactivity due to illness,44900,2015-03 long-term,Male Inactivity due to illness
845,2015-06,Number of Inactive,Male Inactivity due to illness,4200,2015-06 temp,Male Inactivity due to illness
849,2015-06,Number of Inactive,Male Inactivity due to illness,48000,2015-06 long-term,Male Inactivity due to illness
865,2015-09,Number of Inactive,Male Inactivity due to illness,4600,2015-09 temp,Male Inactivity due to illness
869,2015-09,Number of Inactive,Male Inactivity due to illness,50300,2015-09 long-term,Male Inactivity due to illness
885,2015-12,Number of Inactive,Male Inactivity due to illness,3500,2015-12 temp,Male Inactivity due to illness
889,2015-12,Number of Inactive,Male Inactivity due to illness,46700,2015-12 long-term,Male Inactivity due to illness
905,2016-03,Number of Inactive,Male Inactivity due to illness,2900,2016-03 temp,Male Inactivity due to illness
909,2016-03,Number of Inactive,Male Inactivity due to illness,47400,2016-03 long-term,Male Inactivity due to illness
925,2016-06,Number of Inactive,Male Inactivity due to illness,3500,2016-06 temp,Male Inactivity due to illness
929,2016-06,Number of Inactive,Male Inactivity due to illness,46000,2016-06 long-term,Male Inactivity due to illness
945,2016-09,Number of Inactive,Male Inactivity due to illness,4500,2016-09 temp,Male Inactivity due to illness
949,2016-09,Number of Inactive,Male Inactivity due to illness,42900,2016-09 long-term,Male Inactivity due to illness
965,2016-12,Number of Inactive,Male Inactivity due to illness,4600,2016-12 temp,Male Inactivity due to illness
969,2016-12,Number of Inactive,Male Inactivity due to illness,44600,2016-12 long-term,Male Inactivity due to illness
985,2017-03,Number of Inactive,Male Inactivity due to illness,5100,2017-03 temp,Male Inactivity due to illness
989,2017-03,Number of Inactive,Male Inactivity due to illness,46000,2017-03 long-term,Male Inactivity due to illness
1005,2017-06,Number of Inactive,Male Inactivity due to illness,5100,2017-06 temp,Male Inactivity due to illness
1009,2017-06,Number of Inactive,Male Inactivity due to illness,45700,2017-06 long-term,Male Inactivity due to illness
1025,2017-09,Number of Inactive,Male Inactivity due to illness,5200,2017-09 temp,Male Inactivity due to illness
1029,2017-09,Number of Inactive,Male Inactivity due to illness,47200,2017-09 long-term,Male Inactivity due to illness
1045,2017-12,Number of Inactive,Male Inactivity due to illness,5500,2017-12 temp,Male Inactivity due to illness
1049,2017-12,Number of Inactive,Male Inactivity due to illness,47800,2017-12 long-term,Male Inactivity due to illness
1065,2018-03,Number of Inactive,Male Inactivity due to illness,5000,2018-03 temp,Male Inactivity due to illness
1069,2018-03,Number of Inactive,Male Inactivity due to illness,46900,2018-03 long-term,Male Inactivity due to illness
1085,2018-06,Number of Inactive,Male Inactivity due to illness,4600,2018-06 temp,Male Inactivity due to illness
1089,2018-06,Number of Inactive,Male Inactivity due to illness,50100,2018-06 long-term,Male Inactivity due to illness
1105,2018-09,Number of Inactive,Male Inactivity due to illness,4600,2018-09 temp,Male Inactivity due to illness
1109,2018-09,Number of Inactive,Male Inactivity due to illness,49200,2018-09 long-term,Male Inactivity due to illness
1125,2018-12,Number of Inactive,Male Inactivity due to illness,5200,2018-12 temp,Male Inactivity due to illness
1129,2018-12,Number of Inactive,Male Inactivity due to illness,46700,2018-12 long-term,Male Inactivity due to illness
1145,2019-03,Number of Inactive,Male Inactivity due to illness,4800,2019-03 temp,Male Inactivity due to illness
1149,2019-03,Number of Inactive,Male Inactivity due to illness,46800,2019-03 long-term,Male Inactivity due to illness
1165,2019-06,Number of Inactive,Male Inactivity due to illness,4100,2019-06 temp,Male Inactivity due to illness
1169,2019-06,Number of Inactive,Male Inactivity due to illness,50300,2019-06 long-term,Male Inactivity due to illness
1185,2019-09,Number of Inactive,Male Inactivity due to illness,2800,2019-09 temp,Male Inactivity due to illness
1189,2019-09,Number of Inactive,Male Inactivity due to illness,52300,2019-09 long-term,Male Inactivity due to illness
1205,2019-12,Number of Inactive,Male Inactivity due to illness,2700,2019-12 temp,Male Inactivity due to illness
1209,2019-12,Number of Inactive,Male Inactivity due to illness,55400,2019-12 long-term,Male Inactivity due to illness
1225,2020-03,Number of Inactive,Male Inactivity due to illness,3600,2020-03 temp,Male Inactivity due to illness
1229,2020-03,Number of Inactive,Male Inactivity due to illness,52400,2020-03 long-term,Male Inactivity due to illness
1245,2020-06,Number of Inactive,Male Inactivity due to illness,4100,2020-06 temp,Male Inactivity due to illness
1249,2020-06,Number of Inactive,Male Inactivity due to illness,49100,2020-06 long-term,Male Inactivity due to illness
1265,2020-09,Number of Inactive,Male Inactivity due to illness,4100,2020-09 temp,Male Inactivity due to illness
1269,2020-09,Number of Inactive,Male Inactivity due to illness,53300,2020-09 long-term,Male Inactivity due to illness
1285,2020-12,Number of Inactive,Male Inactivity due to illness,3400,2020-12 temp,Male Inactivity due to illness
1289,2020-12,Number of Inactive,Male Inactivity due to illness,56300,2020-12 long-term,Male Inactivity due to illness
1305,2021-03,Number of Inactive,Male Inactivity due to illness,3700,2021-03 temp,Male Inactivity due to illness
1309,2021-03,Number of Inactive,Male Inactivity due to illness,58700,2021-03 long-term,Male Inactivity due to illness
1325,2021-06,Number of Inactive,Male Inactivity due to illness,3400,2021-06 temp,Male Inactivity due to illness
1329,2021-06,Number of Inactive,Male Inactivity due to illness,51500,2021-06 long-term,Male Inactivity due to illness
1345,2021-09,Number of Inactive,Male Inactivity due to illness,5200,2021-09 temp,Male Inactivity due to illness
1349,2021-09,Number of Inactive,Male Inactivity due to illness,49600,2021-09 long-term,Male Inactivity due to illness
1365,2021-12,Number of Inactive,Male Inactivity due to illness,5000,2021-12 temp,Male Inactivity due to illness
1369,2021-12,Number of Inactive,Male Inactivity due to illness,49200,2021-12 long-term,Male Inactivity due to illness
1385,2022-03,Number of Inactive,Male Inactivity due to illness,4200,2022-03 temp,Male Inactivity due to illness
1389,2022-03,Number of Inactive,Male Inactivity due to illness,49200,2022-03 long-term,Male Inactivity due to illness
