,DATE2,GEOGRAPHY_NAME,VARIABLE_NAME2,MEASURES,MEASURES_NAME,OBS_VALUE,var_type,Group
5,2004-12,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,5000.0,Gender,Male
9,2004-12,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,51300.0,Gender,Male
13,2004-12,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,2400.0,Gender,Female
17,2004-12,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,54800.0,Gender,Female
25,2005-03,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,5100.0,Gender,Male
29,2005-03,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,51900.0,Gender,Male
33,2005-03,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,2700.0,Gender,Female
37,2005-03,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,54800.0,Gender,Female
45,2005-06,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,5200.0,Gender,Male
49,2005-06,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,54000.0,Gender,Male
53,2005-06,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,1300.0,Gender,Female
57,2005-06,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,55000.0,Gender,Female
65,2005-09,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4800.0,Gender,Male
69,2005-09,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,50800.0,Gender,Male
73,2005-09,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,1500.0,Gender,Female
77,2005-09,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,50900.0,Gender,Female
85,2005-12,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4200.0,Gender,Male
89,2005-12,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,50500.0,Gender,Male
93,2005-12,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,1600.0,Gender,Female
97,2005-12,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,51000.0,Gender,Female
105,2006-03,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4900.0,Gender,Male
109,2006-03,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,50000.0,Gender,Male
113,2006-03,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,1200.0,Gender,Female
117,2006-03,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,49600.0,Gender,Female
125,2006-06,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,3900.0,Gender,Male
129,2006-06,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,46900.0,Gender,Male
133,2006-06,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,1600.0,Gender,Female
137,2006-06,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,48800.0,Gender,Female
145,2006-09,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,3900.0,Gender,Male
149,2006-09,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,50600.0,Gender,Male
153,2006-09,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,1600.0,Gender,Female
157,2006-09,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,48300.0,Gender,Female
165,2006-12,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4500.0,Gender,Male
169,2006-12,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,50000.0,Gender,Male
173,2006-12,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,1600.0,Gender,Female
177,2006-12,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,47300.0,Gender,Female
185,2007-03,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4100.0,Gender,Male
189,2007-03,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,49900.0,Gender,Male
193,2007-03,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,2100.0,Gender,Female
197,2007-03,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,47600.0,Gender,Female
205,2007-06,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4400.0,Gender,Male
209,2007-06,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,50100.0,Gender,Male
213,2007-06,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,2600.0,Gender,Female
217,2007-06,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,47200.0,Gender,Female
225,2007-09,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4900.0,Gender,Male
229,2007-09,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,51400.0,Gender,Male
233,2007-09,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,2400.0,Gender,Female
237,2007-09,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,45600.0,Gender,Female
245,2007-12,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4300.0,Gender,Male
249,2007-12,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,55000.0,Gender,Male
253,2007-12,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,2800.0,Gender,Female
257,2007-12,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,45100.0,Gender,Female
265,2008-03,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,3400.0,Gender,Male
269,2008-03,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,52900.0,Gender,Male
273,2008-03,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,2400.0,Gender,Female
277,2008-03,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,44400.0,Gender,Female
285,2008-06,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,3400.0,Gender,Male
289,2008-06,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,53100.0,Gender,Male
293,2008-06,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,2200.0,Gender,Female
297,2008-06,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,44200.0,Gender,Female
305,2008-09,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,3300.0,Gender,Male
309,2008-09,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,51600.0,Gender,Male
313,2008-09,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,3300.0,Gender,Female
317,2008-09,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,46700.0,Gender,Female
325,2008-12,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,2700.0,Gender,Male
329,2008-12,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,53000.0,Gender,Male
333,2008-12,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,3500.0,Gender,Female
337,2008-12,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,45900.0,Gender,Female
345,2009-03,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,3600.0,Gender,Male
349,2009-03,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,55000.0,Gender,Male
353,2009-03,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,4000.0,Gender,Female
357,2009-03,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,47300.0,Gender,Female
365,2009-06,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4900.0,Gender,Male
369,2009-06,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,56700.0,Gender,Male
373,2009-06,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,3200.0,Gender,Female
377,2009-06,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,48400.0,Gender,Female
385,2009-09,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4300.0,Gender,Male
389,2009-09,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,57900.0,Gender,Male
393,2009-09,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,3200.0,Gender,Female
397,2009-09,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,48000.0,Gender,Female
405,2009-12,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4100.0,Gender,Male
409,2009-12,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,54500.0,Gender,Male
413,2009-12,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,5000.0,Gender,Female
417,2009-12,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,48100.0,Gender,Female
425,2010-03,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,3500.0,Gender,Male
429,2010-03,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,53500.0,Gender,Male
433,2010-03,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,4500.0,Gender,Female
437,2010-03,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,48300.0,Gender,Female
445,2010-06,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,1900.0,Gender,Male
449,2010-06,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,52300.0,Gender,Male
453,2010-06,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,5000.0,Gender,Female
457,2010-06,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,50100.0,Gender,Female
465,2010-09,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,2100.0,Gender,Male
469,2010-09,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,52000.0,Gender,Male
473,2010-09,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,4200.0,Gender,Female
477,2010-09,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,48800.0,Gender,Female
485,2010-12,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,2000.0,Gender,Male
489,2010-12,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,50400.0,Gender,Male
493,2010-12,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,3000.0,Gender,Female
497,2010-12,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,49400.0,Gender,Female
505,2011-03,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,1800.0,Gender,Male
509,2011-03,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,45100.0,Gender,Male
513,2011-03,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,3000.0,Gender,Female
517,2011-03,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,47800.0,Gender,Female
525,2011-06,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,2100.0,Gender,Male
529,2011-06,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,49100.0,Gender,Male
533,2011-06,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,2600.0,Gender,Female
537,2011-06,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,45600.0,Gender,Female
545,2011-09,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,2000.0,Gender,Male
549,2011-09,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,48200.0,Gender,Male
553,2011-09,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,2800.0,Gender,Female
557,2011-09,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,47600.0,Gender,Female
565,2011-12,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,3300.0,Gender,Male
569,2011-12,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,49700.0,Gender,Male
