,DATE2,MEASURES_NAME,female_obvs,id,male_obvs
0,2004-12,% Inactive,1.1,2004-12temp,4.4
1,2004-12,% Inactive,1.1,2004-12temp,5000.0
2,2004-12,Number of Inactive,2400.0,2004-12temp,4.4
3,2004-12,Number of Inactive,2400.0,2004-12temp,5000.0
4,2004-12,% Inactive,25.3,2004-12long-term,44.8
5,2004-12,% Inactive,25.3,2004-12long-term,51300.0
6,2004-12,Number of Inactive,54800.0,2004-12long-term,44.8
7,2004-12,Number of Inactive,54800.0,2004-12long-term,51300.0
8,2005-03,% Inactive,1.2,2005-03temp,4.3
9,2005-03,% Inactive,1.2,2005-03temp,5100.0
10,2005-03,Number of Inactive,2700.0,2005-03temp,4.3
11,2005-03,Number of Inactive,2700.0,2005-03temp,5100.0
12,2005-03,% Inactive,25.1,2005-03long-term,43.6
13,2005-03,% Inactive,25.1,2005-03long-term,51900.0
14,2005-03,Number of Inactive,54800.0,2005-03long-term,43.6
15,2005-03,Number of Inactive,54800.0,2005-03long-term,51900.0
16,2005-06,% Inactive,0.6,2005-06temp,4.2
17,2005-06,% Inactive,0.6,2005-06temp,5200.0
18,2005-06,Number of Inactive,1300.0,2005-06temp,4.2
19,2005-06,Number of Inactive,1300.0,2005-06temp,5200.0
20,2005-06,% Inactive,25.5,2005-06long-term,44.3
21,2005-06,% Inactive,25.5,2005-06long-term,54000.0
22,2005-06,Number of Inactive,55000.0,2005-06long-term,44.3
23,2005-06,Number of Inactive,55000.0,2005-06long-term,54000.0
24,2005-09,% Inactive,0.7,2005-09temp,4.1
25,2005-09,% Inactive,0.7,2005-09temp,4800.0
26,2005-09,Number of Inactive,1500.0,2005-09temp,4.1
27,2005-09,Number of Inactive,1500.0,2005-09temp,4800.0
28,2005-09,% Inactive,24.1,2005-09long-term,43.6
29,2005-09,% Inactive,24.1,2005-09long-term,50800.0
30,2005-09,Number of Inactive,50900.0,2005-09long-term,43.6
31,2005-09,Number of Inactive,50900.0,2005-09long-term,50800.0
32,2005-12,% Inactive,0.7,2005-12temp,3.6
33,2005-12,% Inactive,0.7,2005-12temp,4200.0
34,2005-12,Number of Inactive,1600.0,2005-12temp,3.6
35,2005-12,Number of Inactive,1600.0,2005-12temp,4200.0
36,2005-12,% Inactive,24.0,2005-12long-term,43.3
37,2005-12,% Inactive,24.0,2005-12long-term,50500.0
38,2005-12,Number of Inactive,51000.0,2005-12long-term,43.3
39,2005-12,Number of Inactive,51000.0,2005-12long-term,50500.0
40,2006-03,% Inactive,0.6,2006-03temp,4.3
41,2006-03,% Inactive,0.6,2006-03temp,4900.0
42,2006-03,Number of Inactive,1200.0,2006-03temp,4.3
43,2006-03,Number of Inactive,1200.0,2006-03temp,4900.0
44,2006-03,% Inactive,23.6,2006-03long-term,43.1
45,2006-03,% Inactive,23.6,2006-03long-term,50000.0
46,2006-03,Number of Inactive,49600.0,2006-03long-term,43.1
47,2006-03,Number of Inactive,49600.0,2006-03long-term,50000.0
48,2006-06,% Inactive,0.8,2006-06temp,3.5
49,2006-06,% Inactive,0.8,2006-06temp,3900.0
50,2006-06,Number of Inactive,1600.0,2006-06temp,3.5
51,2006-06,Number of Inactive,1600.0,2006-06temp,3900.0
52,2006-06,% Inactive,23.8,2006-06long-term,41.6
53,2006-06,% Inactive,23.8,2006-06long-term,46900.0
54,2006-06,Number of Inactive,48800.0,2006-06long-term,41.6
55,2006-06,Number of Inactive,48800.0,2006-06long-term,46900.0
56,2006-09,% Inactive,0.7,2006-09temp,3.3
57,2006-09,% Inactive,0.7,2006-09temp,3900.0
58,2006-09,Number of Inactive,1600.0,2006-09temp,3.3
