,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES,MEASURES_NAME,OBS_VALUE,var_type
1,2004-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,331000.0,Inactive
21,2005-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,337700.0,Inactive
41,2005-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,337000.0,Inactive
61,2005-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,328200.0,Inactive
81,2005-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,328900.0,Inactive
101,2006-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,325900.0,Inactive
121,2006-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,318200.0,Inactive
141,2006-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,330300.0,Inactive
161,2006-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,330900.0,Inactive
181,2007-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,327200.0,Inactive
201,2007-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,328100.0,Inactive
221,2007-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,326000.0,Inactive
241,2007-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,323400.0,Inactive
261,2008-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,321200.0,Inactive
281,2008-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,327100.0,Inactive
301,2008-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,331100.0,Inactive
321,2008-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,334100.0,Inactive
341,2009-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,343500.0,Inactive
361,2009-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,351400.0,Inactive
381,2009-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,346000.0,Inactive
401,2009-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,347000.0,Inactive
421,2010-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,344600.0,Inactive
441,2010-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,341900.0,Inactive
461,2010-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,343000.0,Inactive
481,2010-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,336800.0,Inactive
501,2011-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,333500.0,Inactive
521,2011-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,325300.0,Inactive
541,2011-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,324100.0,Inactive
561,2011-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,319900.0,Inactive
581,2012-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,315000.0,Inactive
601,2012-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,317100.0,Inactive
621,2012-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,317200.0,Inactive
641,2012-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,320000.0,Inactive
661,2013-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,319800.0,Inactive
681,2013-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,323300.0,Inactive
701,2013-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,320200.0,Inactive
721,2013-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,318100.0,Inactive
741,2014-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,322100.0,Inactive
761,2014-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,321400.0,Inactive
781,2014-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,315000.0,Inactive
801,2014-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,319900.0,Inactive
821,2015-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,312600.0,Inactive
841,2015-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,317200.0,Inactive
861,2015-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,323200.0,Inactive
881,2015-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,315500.0,Inactive
901,2016-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,317200.0,Inactive
921,2016-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,313500.0,Inactive
941,2016-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,307300.0,Inactive
961,2016-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,303300.0,Inactive
981,2017-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,313200.0,Inactive
1001,2017-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,309200.0,Inactive
1021,2017-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,316800.0,Inactive
1041,2017-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,322600.0,Inactive
1061,2018-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,321700.0,Inactive
1081,2018-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,324900.0,Inactive
1101,2018-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,319700.0,Inactive
1121,2018-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,318000.0,Inactive
1141,2019-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,311800.0,Inactive
1161,2019-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,305600.0,Inactive
1181,2019-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,308100.0,Inactive
1201,2019-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,305500.0,Inactive
1221,2020-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,303000.0,Inactive
1241,2020-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,303400.0,Inactive
1261,2020-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,312200.0,Inactive
1281,2020-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,326100.0,Inactive
1301,2021-03,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,334700.0,Inactive
1321,2021-06,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,323300.0,Inactive
1341,2021-09,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,315200.0,Inactive
1361,2021-12,Northern Ireland,% who are economically inactive - aged 16-64,21001,Numerator,314500.0,Inactive
