,Date,Location,Inactivity Type,Value,Total Population,Inactive,Total Economically Inactive,Inactive Pct
1,2004-12,Glasgow City,Student,23600.0,377400.0,0.06253312135665076,120600.0,0.3195548489666137
2,2004-12,Glasgow City,Looking after family/home,27000.0,377400.0,0.07154213036565978,120600.0,0.3195548489666137
3,2004-12,Glasgow City,Temporary sick,4900.0,377400.0,0.012983571807101218,120600.0,0.3195548489666137
4,2004-12,Glasgow City,Long-term sick,46300.0,377400.0,0.1226815050344462,120600.0,0.3195548489666137
5,2004-12,Glasgow City,Economically Discouraged,0.0,377400.0,0.0,120600.0,0.3195548489666137
6,2004-12,Glasgow City,Retired,10400.0,377400.0,0.02755696873343932,120600.0,0.3195548489666137
7,2004-12,Glasgow City,Other,8200.0,377400.0,0.02172760996290408,120600.0,0.3195548489666137
9,2005-03,Glasgow City,Student,23700.0,377800.0,0.06273160402329275,120600.0,0.31921651667548967
10,2005-03,Glasgow City,Looking after family/home,27100.0,377800.0,0.07173107464266808,120600.0,0.31921651667548967
11,2005-03,Glasgow City,Temporary sick,3800.0,377800.0,0.010058231868713605,120600.0,0.31921651667548967
12,2005-03,Glasgow City,Long-term sick,45700.0,377800.0,0.12096347273689782,120600.0,0.31921651667548967
13,2005-03,Glasgow City,Economically Discouraged,0.0,377800.0,0.0,120600.0,0.31921651667548967
14,2005-03,Glasgow City,Retired,11600.0,377800.0,0.03070407623080995,120600.0,0.31921651667548967
15,2005-03,Glasgow City,Other,8500.0,377800.0,0.022498676548438328,120600.0,0.31921651667548967
17,2005-06,Glasgow City,Student,21200.0,378200.0,0.05605499735589635,114700.0,0.30327868852459017
18,2005-06,Glasgow City,Looking after family/home,23600.0,378200.0,0.06240084611316764,114700.0,0.30327868852459017
19,2005-06,Glasgow City,Temporary sick,3200.0,378200.0,0.008461131676361713,114700.0,0.30327868852459017
20,2005-06,Glasgow City,Long-term sick,46800.0,378200.0,0.12374405076679006,114700.0,0.30327868852459017
21,2005-06,Glasgow City,Economically Discouraged,0.0,378200.0,0.0,114700.0,0.30327868852459017
22,2005-06,Glasgow City,Retired,11500.0,378200.0,0.030407191961924908,114700.0,0.30327868852459017
23,2005-06,Glasgow City,Other,8500.0,378200.0,0.0224748810153358,114700.0,0.30327868852459017
25,2005-09,Glasgow City,Student,24100.0,379000.0,0.06358839050131926,115900.0,0.3058047493403694
26,2005-09,Glasgow City,Looking after family/home,23200.0,379000.0,0.06121372031662269,115900.0,0.3058047493403694
27,2005-09,Glasgow City,Temporary sick,2600.0,379000.0,0.006860158311345646,115900.0,0.3058047493403694
28,2005-09,Glasgow City,Long-term sick,45500.0,379000.0,0.12005277044854881,115900.0,0.3058047493403694
29,2005-09,Glasgow City,Economically Discouraged,0.0,379000.0,0.0,115900.0,0.3058047493403694
30,2005-09,Glasgow City,Retired,11500.0,379000.0,0.030343007915567283,115900.0,0.3058047493403694
31,2005-09,Glasgow City,Other,9000.0,379000.0,0.023746701846965697,115900.0,0.3058047493403694
33,2005-12,Glasgow City,Student,23200.0,379100.0,0.06119757319968346,113100.0,0.29833816934845686
34,2005-12,Glasgow City,Looking after family/home,22800.0,379100.0,0.060142442627275125,113100.0,0.29833816934845686
35,2005-12,Glasgow City,Temporary sick,2700.0,379100.0,0.007122131363756265,113100.0,0.29833816934845686
36,2005-12,Glasgow City,Long-term sick,43900.0,379100.0,0.11580058032181482,113100.0,0.29833816934845686
37,2005-12,Glasgow City,Economically Discouraged,0.0,379100.0,0.0,113100.0,0.29833816934845686
38,2005-12,Glasgow City,Retired,11300.0,379100.0,0.02980743867053548,113100.0,0.29833816934845686
39,2005-12,Glasgow City,Other,8900.0,379100.0,0.023476655236085466,113100.0,0.29833816934845686
41,2006-03,Glasgow City,Student,28000.0,378800.0,0.07391763463569166,118100.0,0.3117740232312566
42,2006-03,Glasgow City,Looking after family/home,20900.0,378800.0,0.05517423442449842,118100.0,0.3117740232312566
43,2006-03,Glasgow City,Temporary sick,3600.0,378800.0,0.009503695881731784,118100.0,0.3117740232312566
44,2006-03,Glasgow City,Long-term sick,45700.0,378800.0,0.1206441393875396,118100.0,0.3117740232312566
45,2006-03,Glasgow City,Economically Discouraged,0.0,378800.0,0.0,118100.0,0.3117740232312566
46,2006-03,Glasgow City,Retired,11200.0,378800.0,0.029567053854276663,118100.0,0.3117740232312566
47,2006-03,Glasgow City,Other,8500.0,378800.0,0.022439281942977826,118100.0,0.3117740232312566
49,2006-06,Glasgow City,Student,31200.0,378700.0,0.08238711381040402,122000.0,0.3221547398996567
50,2006-06,Glasgow City,Looking after family/home,22700.0,378700.0,0.059941906522313175,122000.0,0.3221547398996567
51,2006-06,Glasgow City,Temporary sick,3600.0,378700.0,0.009506205439662001,122000.0,0.3221547398996567
52,2006-06,Glasgow City,Long-term sick,43900.0,378700.0,0.11592289411143385,122000.0,0.3221547398996567
53,2006-06,Glasgow City,Economically Discouraged,0.0,378700.0,0.0,122000.0,0.3221547398996567
54,2006-06,Glasgow City,Retired,10100.0,378700.0,0.02667018748349617,122000.0,0.3221547398996567
55,2006-06,Glasgow City,Other,9900.0,378700.0,0.026142064959070503,122000.0,0.3221547398996567
57,2006-09,Glasgow City,Student,30100.0,380200.0,0.07916885849552867,122800.0,0.32298790110468173
58,2006-09,Glasgow City,Looking after family/home,22600.0,380200.0,0.05944239873750658,122800.0,0.32298790110468173
59,2006-09,Glasgow City,Temporary sick,2700.0,380200.0,0.0071015255128879535,122800.0,0.32298790110468173
60,2006-09,Glasgow City,Long-term sick,44400.0,380200.0,0.1167806417674908,122800.0,0.32298790110468173
61,2006-09,Glasgow City,Economically Discouraged,0.0,380200.0,0.0,122800.0,0.32298790110468173
62,2006-09,Glasgow City,Retired,11000.0,380200.0,0.028932140978432403,122800.0,0.32298790110468173
63,2006-09,Glasgow City,Other,11400.0,380200.0,0.02998421883219358,122800.0,0.32298790110468173
65,2006-12,Glasgow City,Student,28500.0,381000.0,0.07480314960629922,121600.0,0.31916010498687664
66,2006-12,Glasgow City,Looking after family/home,22100.0,381000.0,0.05800524934383202,121600.0,0.31916010498687664
67,2006-12,Glasgow City,Temporary sick,3000.0,381000.0,0.007874015748031496,121600.0,0.31916010498687664
68,2006-12,Glasgow City,Long-term sick,44900.0,381000.0,0.1178477690288714,121600.0,0.31916010498687664
69,2006-12,Glasgow City,Economically Discouraged,0.0,381000.0,0.0,121600.0,0.31916010498687664
70,2006-12,Glasgow City,Retired,10800.0,381000.0,0.028346456692913385,121600.0,0.31916010498687664
71,2006-12,Glasgow City,Other,11800.0,381000.0,0.030971128608923884,121600.0,0.31916010498687664
73,2007-03,Glasgow City,Student,25500.0,382300.0,0.06670154329060947,118100.0,0.3089196965733717
74,2007-03,Glasgow City,Looking after family/home,23500.0,382300.0,0.061470049699189115,118100.0,0.3089196965733717
75,2007-03,Glasgow City,Temporary sick,2500.0,382300.0,0.006539366989275438,118100.0,0.3089196965733717
76,2007-03,Glasgow City,Long-term sick,43800.0,382300.0,0.11456970965210568,118100.0,0.3089196965733717
77,2007-03,Glasgow City,Economically Discouraged,0.0,382300.0,0.0,118100.0,0.3089196965733717
78,2007-03,Glasgow City,Retired,10700.0,382300.0,0.027988490714098875,118100.0,0.3089196965733717
79,2007-03,Glasgow City,Other,11600.0,382300.0,0.030342662830238034,118100.0,0.3089196965733717
81,2007-06,Glasgow City,Student,24800.0,383300.0,0.06470127837203235,115100.0,0.3002869814766501
82,2007-06,Glasgow City,Looking after family/home,20900.0,383300.0,0.05452648056352726,115100.0,0.3002869814766501
83,2007-06,Glasgow City,Temporary sick,2300.0,383300.0,0.006000521784503,115100.0,0.3002869814766501
84,2007-06,Glasgow City,Long-term sick,45000.0,383300.0,0.1174015131750587,115100.0,0.3002869814766501
85,2007-06,Glasgow City,Economically Discouraged,0.0,383300.0,0.0,115100.0,0.3002869814766501
86,2007-06,Glasgow City,Retired,11000.0,383300.0,0.02869814766501435,115100.0,0.3002869814766501
87,2007-06,Glasgow City,Other,11300.0,383300.0,0.02948082441951474,115100.0,0.3002869814766501
89,2007-09,Glasgow City,Student,25900.0,383200.0,0.06758872651356994,113000.0,0.2948851774530271
