,DATE,Location,var,type,obs
4,2004-12,Scotland,Inactivity Rate,Variable,0.77
24,2004-12,Scotland,Inactivity Rate,Variable,0.77
40,2005-03,Scotland,Inactivity Rate,Variable,0.77
60,2005-03,Scotland,Inactivity Rate,Variable,0.77
76,2005-06,Scotland,Inactivity Rate,Variable,0.77
96,2005-06,Scotland,Inactivity Rate,Variable,0.77
112,2005-09,Scotland,Inactivity Rate,Variable,0.77
132,2005-09,Scotland,Inactivity Rate,Variable,0.77
148,2005-12,Scotland,Inactivity Rate,Variable,0.77
168,2005-12,Scotland,Inactivity Rate,Variable,0.77
184,2006-03,Scotland,Inactivity Rate,Variable,0.77
204,2006-03,Scotland,Inactivity Rate,Variable,0.77
220,2006-06,Scotland,Inactivity Rate,Variable,0.77
240,2006-06,Scotland,Inactivity Rate,Variable,0.77
256,2006-09,Scotland,Inactivity Rate,Variable,0.77
276,2006-09,Scotland,Inactivity Rate,Variable,0.77
292,2006-12,Scotland,Inactivity Rate,Variable,0.78
312,2006-12,Scotland,Inactivity Rate,Variable,0.78
328,2007-03,Scotland,Inactivity Rate,Variable,0.78
348,2007-03,Scotland,Inactivity Rate,Variable,0.78
364,2007-06,Scotland,Inactivity Rate,Variable,0.78
384,2007-06,Scotland,Inactivity Rate,Variable,0.78
400,2007-09,Scotland,Inactivity Rate,Variable,0.78
420,2007-09,Scotland,Inactivity Rate,Variable,0.78
436,2007-12,Scotland,Inactivity Rate,Variable,0.78
456,2007-12,Scotland,Inactivity Rate,Variable,0.78
472,2008-03,Scotland,Inactivity Rate,Variable,0.78
492,2008-03,Scotland,Inactivity Rate,Variable,0.78
508,2008-06,Scotland,Inactivity Rate,Variable,0.78
528,2008-06,Scotland,Inactivity Rate,Variable,0.78
544,2008-09,Scotland,Inactivity Rate,Variable,0.78
564,2008-09,Scotland,Inactivity Rate,Variable,0.78
580,2008-12,Scotland,Inactivity Rate,Variable,0.77
600,2008-12,Scotland,Inactivity Rate,Variable,0.77
616,2009-03,Scotland,Inactivity Rate,Variable,0.78
636,2009-03,Scotland,Inactivity Rate,Variable,0.78
652,2009-06,Scotland,Inactivity Rate,Variable,0.77
672,2009-06,Scotland,Inactivity Rate,Variable,0.77
688,2009-09,Scotland,Inactivity Rate,Variable,0.78
708,2009-09,Scotland,Inactivity Rate,Variable,0.78
724,2009-12,Scotland,Inactivity Rate,Variable,0.77
744,2009-12,Scotland,Inactivity Rate,Variable,0.77
760,2010-03,Scotland,Inactivity Rate,Variable,0.77
780,2010-03,Scotland,Inactivity Rate,Variable,0.77
796,2010-06,Scotland,Inactivity Rate,Variable,0.77
816,2010-06,Scotland,Inactivity Rate,Variable,0.77
832,2010-09,Scotland,Inactivity Rate,Variable,0.77
852,2010-09,Scotland,Inactivity Rate,Variable,0.77
868,2010-12,Scotland,Inactivity Rate,Variable,0.77
888,2010-12,Scotland,Inactivity Rate,Variable,0.77
904,2011-03,Scotland,Inactivity Rate,Variable,0.77
924,2011-03,Scotland,Inactivity Rate,Variable,0.77
940,2011-06,Scotland,Inactivity Rate,Variable,0.77
960,2011-06,Scotland,Inactivity Rate,Variable,0.77
976,2011-09,Scotland,Inactivity Rate,Variable,0.77
996,2011-09,Scotland,Inactivity Rate,Variable,0.77
1012,2011-12,Scotland,Inactivity Rate,Variable,0.77
1032,2011-12,Scotland,Inactivity Rate,Variable,0.77
1048,2012-03,Scotland,Inactivity Rate,Variable,0.77
1068,2012-03,Scotland,Inactivity Rate,Variable,0.77
1084,2012-06,Scotland,Inactivity Rate,Variable,0.77
1104,2012-06,Scotland,Inactivity Rate,Variable,0.77
1120,2012-09,Scotland,Inactivity Rate,Variable,0.77
1140,2012-09,Scotland,Inactivity Rate,Variable,0.77
1156,2012-12,Scotland,Inactivity Rate,Variable,0.77
1176,2012-12,Scotland,Inactivity Rate,Variable,0.77
1192,2013-03,Scotland,Inactivity Rate,Variable,0.77
1212,2013-03,Scotland,Inactivity Rate,Variable,0.77
1228,2013-06,Scotland,Inactivity Rate,Variable,0.77
1248,2013-06,Scotland,Inactivity Rate,Variable,0.77
1264,2013-09,Scotland,Inactivity Rate,Variable,0.77
1284,2013-09,Scotland,Inactivity Rate,Variable,0.77
1300,2013-12,Scotland,Inactivity Rate,Variable,0.77
1320,2013-12,Scotland,Inactivity Rate,Variable,0.77
1336,2014-03,Scotland,Inactivity Rate,Variable,0.77
1356,2014-03,Scotland,Inactivity Rate,Variable,0.77
1372,2014-06,Scotland,Inactivity Rate,Variable,0.77
1392,2014-06,Scotland,Inactivity Rate,Variable,0.77
1408,2014-09,Scotland,Inactivity Rate,Variable,0.77
1428,2014-09,Scotland,Inactivity Rate,Variable,0.77
1444,2014-12,Scotland,Inactivity Rate,Variable,0.78
1464,2014-12,Scotland,Inactivity Rate,Variable,0.78
1480,2015-03,Scotland,Inactivity Rate,Variable,0.78
1500,2015-03,Scotland,Inactivity Rate,Variable,0.78
1516,2015-06,Scotland,Inactivity Rate,Variable,0.78
1536,2015-06,Scotland,Inactivity Rate,Variable,0.78
1552,2015-09,Scotland,Inactivity Rate,Variable,0.78
1572,2015-09,Scotland,Inactivity Rate,Variable,0.78
