DATE,obs,var
1992 APR,0.237,Inactivity Rate
1992 MAY,0.24,Inactivity Rate
1992 JUN,0.241,Inactivity Rate
1992 JUL,0.243,Inactivity Rate
1992 AUG,0.243,Inactivity Rate
1992 SEP,0.246,Inactivity Rate
1992 OCT,0.248,Inactivity Rate
1992 NOV,0.249,Inactivity Rate
1992 DEC,0.25,Inactivity Rate
1993 JAN,0.253,Inactivity Rate
1993 FEB,0.253,Inactivity Rate
1993 MAR,0.253,Inactivity Rate
1993 APR,0.254,Inactivity Rate
1993 MAY,0.254,Inactivity Rate
1993 JUN,0.254,Inactivity Rate
1993 JUL,0.258,Inactivity Rate
1993 AUG,0.255,Inactivity Rate
1993 SEP,0.254,Inactivity Rate
1993 OCT,0.252,Inactivity Rate
1993 NOV,0.25,Inactivity Rate
1993 DEC,0.247,Inactivity Rate
1994 JAN,0.243,Inactivity Rate
1994 FEB,0.243,Inactivity Rate
1994 MAR,0.242,Inactivity Rate
1994 APR,0.243,Inactivity Rate
1994 MAY,0.244,Inactivity Rate
1994 JUN,0.241,Inactivity Rate
1994 JUL,0.244,Inactivity Rate
1994 AUG,0.245,Inactivity Rate
1994 SEP,0.246,Inactivity Rate
1994 OCT,0.247,Inactivity Rate
1994 NOV,0.25,Inactivity Rate
1994 DEC,0.251,Inactivity Rate
1995 JAN,0.251,Inactivity Rate
1995 FEB,0.248,Inactivity Rate
1995 MAR,0.25,Inactivity Rate
1995 APR,0.25,Inactivity Rate
1995 MAY,0.248,Inactivity Rate
1995 JUN,0.248,Inactivity Rate
1995 JUL,0.245,Inactivity Rate
1995 AUG,0.245,Inactivity Rate
1995 SEP,0.246,Inactivity Rate
1995 OCT,0.247,Inactivity Rate
1995 NOV,0.249,Inactivity Rate
1995 DEC,0.25,Inactivity Rate
1996 JAN,0.254,Inactivity Rate
1996 FEB,0.256,Inactivity Rate
1996 MAR,0.256,Inactivity Rate
1996 APR,0.256,Inactivity Rate
1996 MAY,0.256,Inactivity Rate
1996 JUN,0.256,Inactivity Rate
1996 JUL,0.256,Inactivity Rate
1996 AUG,0.258,Inactivity Rate
1996 SEP,0.258,Inactivity Rate
1996 OCT,0.256,Inactivity Rate
1996 NOV,0.255,Inactivity Rate
1996 DEC,0.254,Inactivity Rate
1997 JAN,0.252,Inactivity Rate
1997 FEB,0.255,Inactivity Rate
1997 MAR,0.254,Inactivity Rate
1997 APR,0.251,Inactivity Rate
1997 MAY,0.25,Inactivity Rate
1997 JUN,0.251,Inactivity Rate
1997 JUL,0.252,Inactivity Rate
1997 AUG,0.251,Inactivity Rate
1997 SEP,0.25,Inactivity Rate
1997 OCT,0.253,Inactivity Rate
1997 NOV,0.25,Inactivity Rate
1997 DEC,0.25,Inactivity Rate
1998 JAN,0.247,Inactivity Rate
1998 FEB,0.247,Inactivity Rate
1998 MAR,0.247,Inactivity Rate
1998 APR,0.25,Inactivity Rate
1998 MAY,0.251,Inactivity Rate
1998 JUN,0.252,Inactivity Rate
1998 JUL,0.252,Inactivity Rate
1998 AUG,0.258,Inactivity Rate
1998 SEP,0.252,Inactivity Rate
1998 OCT,0.243,Inactivity Rate
1998 NOV,0.251,Inactivity Rate
1998 DEC,0.252,Inactivity Rate
1999 JAN,0.252,Inactivity Rate
1999 FEB,0.253,Inactivity Rate
1999 MAR,0.253,Inactivity Rate
1999 APR,0.254,Inactivity Rate
1999 MAY,0.253,Inactivity Rate
1999 JUN,0.254,Inactivity Rate
1999 JUL,0.255,Inactivity Rate
1999 AUG,0.251,Inactivity Rate
1999 SEP,0.252,Inactivity Rate
1999 OCT,0.252,Inactivity Rate
1999 NOV,0.251,Inactivity Rate
1999 DEC,0.248,Inactivity Rate
2000 JAN,0.247,Inactivity Rate
2000 FEB,0.245,Inactivity Rate
2000 MAR,0.246,Inactivity Rate
2000 APR,0.242,Inactivity Rate
2000 MAY,0.242,Inactivity Rate
2000 JUN,0.24,Inactivity Rate
2000 JUL,0.24,Inactivity Rate
2000 AUG,0.238,Inactivity Rate
2000 SEP,0.238,Inactivity Rate
2000 OCT,0.235,Inactivity Rate
2000 NOV,0.237,Inactivity Rate
2000 DEC,0.235,Inactivity Rate
2001 JAN,0.238,Inactivity Rate
2001 FEB,0.239,Inactivity Rate
2001 MAR,0.242,Inactivity Rate
2001 APR,0.239,Inactivity Rate
2001 MAY,0.237,Inactivity Rate
2001 JUN,0.236,Inactivity Rate
2001 JUL,0.238,Inactivity Rate
2001 AUG,0.238,Inactivity Rate
2001 SEP,0.237,Inactivity Rate
2001 OCT,0.237,Inactivity Rate
2001 NOV,0.239,Inactivity Rate
2001 DEC,0.24,Inactivity Rate
2002 JAN,0.243,Inactivity Rate
2002 FEB,0.242,Inactivity Rate
2002 MAR,0.241,Inactivity Rate
2002 APR,0.235,Inactivity Rate
2002 MAY,0.239,Inactivity Rate
2002 JUN,0.24,Inactivity Rate
2002 JUL,0.236,Inactivity Rate
2002 AUG,0.235,Inactivity Rate
2002 SEP,0.233,Inactivity Rate
2002 OCT,0.232,Inactivity Rate
2002 NOV,0.229,Inactivity Rate
2002 DEC,0.229,Inactivity Rate
2003 JAN,0.229,Inactivity Rate
2003 FEB,0.232,Inactivity Rate
2003 MAR,0.23,Inactivity Rate
2003 APR,0.232,Inactivity Rate
2003 MAY,0.232,Inactivity Rate
2003 JUN,0.233,Inactivity Rate
2003 JUL,0.232,Inactivity Rate
2003 AUG,0.232,Inactivity Rate
2003 SEP,0.231,Inactivity Rate
2003 OCT,0.233,Inactivity Rate
2003 NOV,0.237,Inactivity Rate
2003 DEC,0.235,Inactivity Rate
2004 JAN,0.233,Inactivity Rate
2004 FEB,0.23,Inactivity Rate
2004 MAR,0.228,Inactivity Rate
2004 APR,0.227,Inactivity Rate
2004 MAY,0.225,Inactivity Rate
2004 JUN,0.224,Inactivity Rate
2004 JUL,0.224,Inactivity Rate
