DATE,obs,var,obs2
1992 APR,0.237,Inactivity Rate, 23.7 
1992 MAY,0.24,Inactivity Rate, 24.0 
1992 JUN,0.241,Inactivity Rate, 24.1 
1992 JUL,0.243,Inactivity Rate, 24.3 
1992 AUG,0.243,Inactivity Rate, 24.3 
1992 SEP,0.246,Inactivity Rate, 24.6 
1992 OCT,0.248,Inactivity Rate, 24.8 
1992 NOV,0.249,Inactivity Rate, 24.9 
1992 DEC,0.25,Inactivity Rate, 25.0 
1993 JAN,0.253,Inactivity Rate, 25.3 
1993 FEB,0.253,Inactivity Rate, 25.3 
1993 MAR,0.253,Inactivity Rate, 25.3 
1993 APR,0.254,Inactivity Rate, 25.4 
1993 MAY,0.254,Inactivity Rate, 25.4 
1993 JUN,0.254,Inactivity Rate, 25.4 
1993 JUL,0.258,Inactivity Rate, 25.8 
1993 AUG,0.255,Inactivity Rate, 25.5 
1993 SEP,0.254,Inactivity Rate, 25.4 
1993 OCT,0.252,Inactivity Rate, 25.2 
1993 NOV,0.25,Inactivity Rate, 25.0 
1993 DEC,0.247,Inactivity Rate, 24.7 
1994 JAN,0.243,Inactivity Rate, 24.3 
1994 FEB,0.243,Inactivity Rate, 24.3 
1994 MAR,0.242,Inactivity Rate, 24.2 
1994 APR,0.243,Inactivity Rate, 24.3 
1994 MAY,0.244,Inactivity Rate, 24.4 
1994 JUN,0.241,Inactivity Rate, 24.1 
1994 JUL,0.244,Inactivity Rate, 24.4 
1994 AUG,0.245,Inactivity Rate, 24.5 
1994 SEP,0.246,Inactivity Rate, 24.6 
1994 OCT,0.247,Inactivity Rate, 24.7 
1994 NOV,0.25,Inactivity Rate, 25.0 
1994 DEC,0.251,Inactivity Rate, 25.1 
1995 JAN,0.251,Inactivity Rate, 25.1 
1995 FEB,0.248,Inactivity Rate, 24.8 
1995 MAR,0.25,Inactivity Rate, 25.0 
1995 APR,0.25,Inactivity Rate, 25.0 
1995 MAY,0.248,Inactivity Rate, 24.8 
1995 JUN,0.248,Inactivity Rate, 24.8 
1995 JUL,0.245,Inactivity Rate, 24.5 
1995 AUG,0.245,Inactivity Rate, 24.5 
1995 SEP,0.246,Inactivity Rate, 24.6 
1995 OCT,0.247,Inactivity Rate, 24.7 
1995 NOV,0.249,Inactivity Rate, 24.9 
1995 DEC,0.25,Inactivity Rate, 25.0 
1996 JAN,0.254,Inactivity Rate, 25.4 
1996 FEB,0.256,Inactivity Rate, 25.6 
1996 MAR,0.256,Inactivity Rate, 25.6 
1996 APR,0.256,Inactivity Rate, 25.6 
1996 MAY,0.256,Inactivity Rate, 25.6 
1996 JUN,0.256,Inactivity Rate, 25.6 
1996 JUL,0.256,Inactivity Rate, 25.6 
1996 AUG,0.258,Inactivity Rate, 25.8 
1996 SEP,0.258,Inactivity Rate, 25.8 
1996 OCT,0.256,Inactivity Rate, 25.6 
1996 NOV,0.255,Inactivity Rate, 25.5 
1996 DEC,0.254,Inactivity Rate, 25.4 
1997 JAN,0.252,Inactivity Rate, 25.2 
1997 FEB,0.255,Inactivity Rate, 25.5 
1997 MAR,0.254,Inactivity Rate, 25.4 
1997 APR,0.251,Inactivity Rate, 25.1 
1997 MAY,0.25,Inactivity Rate, 25.0 
1997 JUN,0.251,Inactivity Rate, 25.1 
1997 JUL,0.252,Inactivity Rate, 25.2 
1997 AUG,0.251,Inactivity Rate, 25.1 
1997 SEP,0.25,Inactivity Rate, 25.0 
1997 OCT,0.253,Inactivity Rate, 25.3 
1997 NOV,0.25,Inactivity Rate, 25.0 
1997 DEC,0.25,Inactivity Rate, 25.0 
1998 JAN,0.247,Inactivity Rate, 24.7 
1998 FEB,0.247,Inactivity Rate, 24.7 
1998 MAR,0.247,Inactivity Rate, 24.7 
1998 APR,0.25,Inactivity Rate, 25.0 
1998 MAY,0.251,Inactivity Rate, 25.1 
1998 JUN,0.252,Inactivity Rate, 25.2 
1998 JUL,0.252,Inactivity Rate, 25.2 
1998 AUG,0.258,Inactivity Rate, 25.8 
1998 SEP,0.252,Inactivity Rate, 25.2 
1998 OCT,0.243,Inactivity Rate, 24.3 
1998 NOV,0.251,Inactivity Rate, 25.1 
1998 DEC,0.252,Inactivity Rate, 25.2 
1999 JAN,0.252,Inactivity Rate, 25.2 
1999 FEB,0.253,Inactivity Rate, 25.3 
1999 MAR,0.253,Inactivity Rate, 25.3 
1999 APR,0.254,Inactivity Rate, 25.4 
1999 MAY,0.253,Inactivity Rate, 25.3 
1999 JUN,0.254,Inactivity Rate, 25.4 
1999 JUL,0.255,Inactivity Rate, 25.5 
1999 AUG,0.251,Inactivity Rate, 25.1 
1999 SEP,0.252,Inactivity Rate, 25.2 
1999 OCT,0.252,Inactivity Rate, 25.2 
1999 NOV,0.251,Inactivity Rate, 25.1 
1999 DEC,0.248,Inactivity Rate, 24.8 
2000 JAN,0.247,Inactivity Rate, 24.7 
2000 FEB,0.245,Inactivity Rate, 24.5 
2000 MAR,0.246,Inactivity Rate, 24.6 
2000 APR,0.242,Inactivity Rate, 24.2 
2000 MAY,0.242,Inactivity Rate, 24.2 
2000 JUN,0.24,Inactivity Rate, 24.0 
2000 JUL,0.24,Inactivity Rate, 24.0 
2000 AUG,0.238,Inactivity Rate, 23.8 
2000 SEP,0.238,Inactivity Rate, 23.8 
2000 OCT,0.235,Inactivity Rate, 23.5 
2000 NOV,0.237,Inactivity Rate, 23.7 
2000 DEC,0.235,Inactivity Rate, 23.5 
2001 JAN,0.238,Inactivity Rate, 23.8 
2001 FEB,0.239,Inactivity Rate, 23.9 
2001 MAR,0.242,Inactivity Rate, 24.2 
2001 APR,0.239,Inactivity Rate, 23.9 
2001 MAY,0.237,Inactivity Rate, 23.7 
2001 JUN,0.236,Inactivity Rate, 23.6 
2001 JUL,0.238,Inactivity Rate, 23.8 
2001 AUG,0.238,Inactivity Rate, 23.8 
2001 SEP,0.237,Inactivity Rate, 23.7 
2001 OCT,0.237,Inactivity Rate, 23.7 
2001 NOV,0.239,Inactivity Rate, 23.9 
2001 DEC,0.24,Inactivity Rate, 24.0 
2002 JAN,0.243,Inactivity Rate, 24.3 
2002 FEB,0.242,Inactivity Rate, 24.2 
2002 MAR,0.241,Inactivity Rate, 24.1 
2002 APR,0.235,Inactivity Rate, 23.5 
2002 MAY,0.239,Inactivity Rate, 23.9 
2002 JUN,0.24,Inactivity Rate, 24.0 
2002 JUL,0.236,Inactivity Rate, 23.6 
2002 AUG,0.235,Inactivity Rate, 23.5 
2002 SEP,0.233,Inactivity Rate, 23.3 
2002 OCT,0.232,Inactivity Rate, 23.2 
2002 NOV,0.229,Inactivity Rate, 22.9 
2002 DEC,0.229,Inactivity Rate, 22.9 
2003 JAN,0.229,Inactivity Rate, 22.9 
2003 FEB,0.232,Inactivity Rate, 23.2 
2003 MAR,0.23,Inactivity Rate, 23.0 
2003 APR,0.232,Inactivity Rate, 23.2 
2003 MAY,0.232,Inactivity Rate, 23.2 
2003 JUN,0.233,Inactivity Rate, 23.3 
2003 JUL,0.232,Inactivity Rate, 23.2 
2003 AUG,0.232,Inactivity Rate, 23.2 
2003 SEP,0.231,Inactivity Rate, 23.1 
2003 OCT,0.233,Inactivity Rate, 23.3 
2003 NOV,0.237,Inactivity Rate, 23.7 
2003 DEC,0.235,Inactivity Rate, 23.5 
2004 JAN,0.233,Inactivity Rate, 23.3 
2004 FEB,0.23,Inactivity Rate, 23.0 
2004 MAR,0.228,Inactivity Rate, 22.8 
2004 APR,0.227,Inactivity Rate, 22.7 
2004 MAY,0.225,Inactivity Rate, 22.5 
2004 JUN,0.224,Inactivity Rate, 22.4 
2004 JUL,0.224,Inactivity Rate, 22.4 
2004 AUG,0.227,Inactivity Rate, 22.7 
2004 SEP,0.225,Inactivity Rate, 22.5 
2004 OCT,0.225,Inactivity Rate, 22.5 
2004 NOV,0.224,Inactivity Rate, 22.4 
2004 DEC,0.223,Inactivity Rate, 22.3 
2005 JAN,0.225,Inactivity Rate, 22.5 
2005 FEB,0.223,Inactivity Rate, 22.3 
2005 MAR,0.227,Inactivity Rate, 22.7 
2005 APR,0.225,Inactivity Rate, 22.5 
2005 MAY,0.229,Inactivity Rate, 22.9 
2005 JUN,0.226,Inactivity Rate, 22.6 
2005 JUL,0.227,Inactivity Rate, 22.7 
2005 AUG,0.226,Inactivity Rate, 22.6 
2005 SEP,0.225,Inactivity Rate, 22.5 
2005 OCT,0.226,Inactivity Rate, 22.6 
2005 NOV,0.229,Inactivity Rate, 22.9 
2005 DEC,0.23,Inactivity Rate, 23.0 
2006 JAN,0.228,Inactivity Rate, 22.8 
2006 FEB,0.229,Inactivity Rate, 22.9 
2006 MAR,0.226,Inactivity Rate, 22.6 
2006 APR,0.225,Inactivity Rate, 22.5 
2006 MAY,0.23,Inactivity Rate, 23.0 
2006 JUN,0.229,Inactivity Rate, 22.9 
2006 JUL,0.229,Inactivity Rate, 22.9 
2006 AUG,0.226,Inactivity Rate, 22.6 
2006 SEP,0.225,Inactivity Rate, 22.5 
2006 OCT,0.224,Inactivity Rate, 22.4 
2006 NOV,0.218,Inactivity Rate, 21.8 
2006 DEC,0.218,Inactivity Rate, 21.8 
2007 JAN,0.216,Inactivity Rate, 21.6 
2007 FEB,0.215,Inactivity Rate, 21.5 
2007 MAR,0.216,Inactivity Rate, 21.6 
2007 APR,0.215,Inactivity Rate, 21.5 
2007 MAY,0.214,Inactivity Rate, 21.4 
2007 JUN,0.215,Inactivity Rate, 21.5 
2007 JUL,0.218,Inactivity Rate, 21.8 
2007 AUG,0.22,Inactivity Rate, 22.0 
2007 SEP,0.219,Inactivity Rate, 21.9 
2007 OCT,0.22,Inactivity Rate, 22.0 
2007 NOV,0.22,Inactivity Rate, 22.0 
2007 DEC,0.216,Inactivity Rate, 21.6 
2008 JAN,0.217,Inactivity Rate, 21.7 
2008 FEB,0.22,Inactivity Rate, 22.0 
2008 MAR,0.221,Inactivity Rate, 22.1 
2008 APR,0.223,Inactivity Rate, 22.3 
2008 MAY,0.224,Inactivity Rate, 22.4 
2008 JUN,0.225,Inactivity Rate, 22.5 
2008 JUL,0.226,Inactivity Rate, 22.6 
2008 AUG,0.224,Inactivity Rate, 22.4 
2008 SEP,0.223,Inactivity Rate, 22.3 
2008 OCT,0.227,Inactivity Rate, 22.7 
2008 NOV,0.225,Inactivity Rate, 22.5 
2008 DEC,0.225,Inactivity Rate, 22.5 
2009 JAN,0.223,Inactivity Rate, 22.3 
2009 FEB,0.221,Inactivity Rate, 22.1 
2009 MAR,0.22,Inactivity Rate, 22.0 
2009 APR,0.223,Inactivity Rate, 22.3 
2009 MAY,0.225,Inactivity Rate, 22.5 
2009 JUN,0.229,Inactivity Rate, 22.9 
2009 JUL,0.225,Inactivity Rate, 22.5 
2009 AUG,0.226,Inactivity Rate, 22.6 
2009 SEP,0.224,Inactivity Rate, 22.4 
2009 OCT,0.221,Inactivity Rate, 22.1 
2009 NOV,0.225,Inactivity Rate, 22.5 
2009 DEC,0.229,Inactivity Rate, 22.9 
2010 JAN,0.234,Inactivity Rate, 23.4 
2010 FEB,0.237,Inactivity Rate, 23.7 
2010 MAR,0.238,Inactivity Rate, 23.8 
2010 APR,0.236,Inactivity Rate, 23.6 
2010 MAY,0.233,Inactivity Rate, 23.3 
2010 JUN,0.226,Inactivity Rate, 22.6 
2010 JUL,0.229,Inactivity Rate, 22.9 
2010 AUG,0.227,Inactivity Rate, 22.7 
2010 SEP,0.224,Inactivity Rate, 22.4 
2010 OCT,0.228,Inactivity Rate, 22.8 
2010 NOV,0.225,Inactivity Rate, 22.5 
2010 DEC,0.226,Inactivity Rate, 22.6 
2011 JAN,0.226,Inactivity Rate, 22.6 
2011 FEB,0.228,Inactivity Rate, 22.8 
2011 MAR,0.231,Inactivity Rate, 23.1 
2011 APR,0.225,Inactivity Rate, 22.5 
2011 MAY,0.222,Inactivity Rate, 22.2 
2011 JUN,0.228,Inactivity Rate, 22.8 
2011 JUL,0.228,Inactivity Rate, 22.8 
2011 AUG,0.226,Inactivity Rate, 22.6 
2011 SEP,0.22,Inactivity Rate, 22.0 
2011 OCT,0.222,Inactivity Rate, 22.2 
2011 NOV,0.224,Inactivity Rate, 22.4 
2011 DEC,0.223,Inactivity Rate, 22.3 
2012 JAN,0.223,Inactivity Rate, 22.3 
2012 FEB,0.224,Inactivity Rate, 22.4 
2012 MAR,0.225,Inactivity Rate, 22.5 
2012 APR,0.225,Inactivity Rate, 22.5 
2012 MAY,0.223,Inactivity Rate, 22.3 
2012 JUN,0.225,Inactivity Rate, 22.5 
2012 JUL,0.226,Inactivity Rate, 22.6 
2012 AUG,0.232,Inactivity Rate, 23.2 
2012 SEP,0.235,Inactivity Rate, 23.5 
2012 OCT,0.232,Inactivity Rate, 23.2 
2012 NOV,0.232,Inactivity Rate, 23.2 
2012 DEC,0.23,Inactivity Rate, 23.0 
2013 JAN,0.226,Inactivity Rate, 22.6 
2013 FEB,0.224,Inactivity Rate, 22.4 
2013 MAR,0.223,Inactivity Rate, 22.3 
2013 APR,0.221,Inactivity Rate, 22.1 
2013 MAY,0.22,Inactivity Rate, 22.0 
2013 JUN,0.216,Inactivity Rate, 21.6 
2013 JUL,0.213,Inactivity Rate, 21.3 
2013 AUG,0.214,Inactivity Rate, 21.4 
2013 SEP,0.216,Inactivity Rate, 21.6 
2013 OCT,0.223,Inactivity Rate, 22.3 
