,GDP,IBB,date
0,91.3,91.7,01-2015
1,91.6,92.0,02-2015
2,91.8,92.0,03-2015
3,92.3,92.6,04-2015
4,92.1,92.3,05-2015
5,92.0,92.2,06-2015
6,92.3,92.7,07-2015
7,92.3,92.5,08-2015
8,92.6,92.7,09-2015
9,93.0,93.0,10-2015
10,93.0,92.9,11-2015
11,93.1,93.3,12-2015
12,93.1,93.2,01-2016
13,93.4,93.5,02-2016
14,93.7,93.7,03-2016
15,94.2,94.2,04-2016
16,94.0,94.0,05-2016
17,94.2,94.1,06-2016
18,94.6,94.2,07-2016
19,94.6,94.5,08-2016
20,94.9,95.0,09-2016
21,95.1,94.7,10-2016
22,95.3,95.2,11-2016
23,95.4,95.9,12-2016
24,95.8,96.1,01-2017
25,95.9,96.1,02-2017
26,96.0,96.2,03-2017
27,96.2,96.6,04-2017
28,96.5,96.8,05-2017
29,96.6,96.8,06-2017
30,96.7,97.0,07-2017
31,97.0,97.2,08-2017
32,97.5,97.6,09-2017
33,97.5,97.6,10-2017
34,97.8,97.8,11-2017
35,97.4,98.1,12-2017
36,97.4,97.8,01-2018
37,97.4,97.9,02-2018
38,97.9,98.0,03-2018
39,97.7,97.8,04-2018
40,98.1,98.1,05-2018
41,98.3,98.4,06-2018
42,98.5,98.3,07-2018
43,98.7,98.5,08-2018
44,98.8,98.6,09-2018
45,98.7,98.5,10-2018
46,99.1,98.8,11-2018
47,99.0,98.5,12-2018
48,99.3,98.9,01-2019
49,99.7,99.5,02-2019
50,99.7,99.6,03-2019
51,99.3,99.3,04-2019
52,99.6,99.6,05-2019
53,99.9,100.1,06-2019
54,100.3,100.6,07-2019
55,100.3,100.3,08-2019
56,100.7,100.6,09-2019
57,100.5,100.5,10-2019
58,100.3,100.3,11-2019
59,100.4,100.8,12-2019
60,100.7,100.8,01-2020
61,100.2,100.4,02-2020
62,93.1,92.8,03-2020
63,73.7,74.6,04-2020
64,76.0,76.2,05-2020
65,82.8,83.6,06-2020
66,88.9,89.1,07-2020
67,90.8,91.8,08-2020
68,91.8,93.0,09-2020
69,92.3,93.6,10-2020
70,90.7,91.7,11-2020
71,92.3,92.9,12-2020
72,89.6,90.3,01-2021
73,90.2,91.3,02-2021
74,92.2,93.3,03-2021
75,95.1,96.8,04-2021
76,96.3,98.3,05-2021
77,97.3,99.4,06-2021
78,97.2,98.9,07-2021
79,98.0,99.8,08-2021
80,98.6,100.4,09-2021
81,98.7,100.7,10-2021
82,99.7,101.4,11-2021
83,99.8,100.9,12-2021
84,100.0,,01-2022
85,99.9,,02-2022
86,100.0,,03-2022
87,100.0,,04-2022
88,100.8,,05-2022
89,100.0,,06-2022
90,100.4,,07-2022
91,100.4,,08-2022
92,99.7,,09-2022
93,100.4,,10-2022
94,100.5,,11-2022
95,100.0,,12-2022
96,100.5,,01-2023
97,100.5,,02-2023
98,100.3,,03-2023
99,100.5,,04-2023
100,100.4,,05-2023
101,101.0,,06-2023
102,100.4,,07-2023
