,GDP,IBB,date
0,91.3,91.7,2015-01
1,91.6,92.0,2015-02
2,91.8,92.0,2015-03
3,92.3,92.6,2015-04
4,92.1,92.3,2015-05
5,92.0,92.2,2015-06
6,92.3,92.7,2015-07
7,92.3,92.5,2015-08
8,92.6,92.7,2015-09
9,93.0,93.0,2015-10
10,93.0,92.9,2015-11
11,93.1,93.3,2015-12
12,93.1,93.2,2016-01
13,93.4,93.5,2016-02
14,93.7,93.7,2016-03
15,94.2,94.2,2016-04
16,94.0,94.0,2016-05
17,94.2,94.1,2016-06
18,94.6,94.2,2016-07
19,94.6,94.5,2016-08
20,94.9,95.0,2016-09
21,95.1,94.7,2016-10
22,95.3,95.2,2016-11
23,95.4,95.9,2016-12
24,95.8,96.1,2017-01
25,95.9,96.1,2017-02
26,96.0,96.2,2017-03
27,96.2,96.6,2017-04
28,96.5,96.8,2017-05
29,96.6,96.8,2017-06
30,96.7,97.0,2017-07
31,97.0,97.2,2017-08
32,97.5,97.6,2017-09
33,97.5,97.6,2017-10
34,97.8,97.8,2017-11
35,97.4,98.1,2017-12
36,97.4,97.8,2018-01
37,97.4,97.9,2018-02
38,97.9,98.0,2018-03
39,97.7,97.8,2018-04
40,98.1,98.1,2018-05
41,98.3,98.4,2018-06
42,98.5,98.3,2018-07
43,98.7,98.5,2018-08
44,98.8,98.6,2018-09
45,98.7,98.5,2018-10
46,99.1,98.8,2018-11
47,99.0,98.5,2018-12
48,99.3,98.9,2019-01
49,99.7,99.5,2019-02
50,99.7,99.6,2019-03
51,99.3,99.3,2019-04
52,99.6,99.6,2019-05
53,99.9,100.1,2019-06
54,100.3,100.6,2019-07
55,100.3,100.3,2019-08
56,100.7,100.6,2019-09
57,100.5,100.5,2019-10
58,100.3,100.3,2019-11
59,100.4,100.8,2019-12
60,100.7,100.8,2020-01
61,100.2,100.4,2020-02
62,93.1,92.8,2020-03
63,73.7,74.6,2020-04
64,76.0,76.2,2020-05
65,82.8,83.6,2020-06
66,88.9,89.1,2020-07
67,90.8,91.8,2020-08
68,91.8,93.0,2020-09
69,92.3,93.6,2020-10
70,90.7,91.7,2020-11
71,92.3,92.9,2020-12
72,89.6,90.3,2021-01
73,90.2,91.3,2021-02
74,92.2,93.3,2021-03
75,95.1,96.8,2021-04
76,96.3,98.3,2021-05
77,97.3,99.4,2021-06
78,97.2,98.9,2021-07
79,98.0,99.8,2021-08
80,98.6,100.4,2021-09
81,98.7,100.7,2021-10
82,99.7,101.4,2021-11
83,99.8,100.9,2021-12
84,100.0,,2022-01
85,99.9,,2022-02
86,100.0,,2022-03
87,100.0,,2022-04
88,100.8,,2022-05
89,100.0,,2022-06
90,100.4,,2022-07
91,100.4,,2022-08
92,99.7,,2022-09
93,100.4,,2022-10
94,100.5,,2022-11
95,100.0,,2022-12
96,100.5,,2023-01
97,100.5,,2023-02
98,100.3,,2023-03
99,100.5,,2023-04
100,100.4,,2023-05
101,101.0,,2023-06
102,100.4,,2023-07
