,GDP,IBB,date
48,99.3,98.9,2019-01
49,99.7,99.5,2019-02
50,99.7,99.6,2019-03
51,99.3,99.3,2019-04
52,99.6,99.6,2019-05
53,99.9,100.1,2019-06
54,100.3,100.6,2019-07
55,100.3,100.3,2019-08
56,100.7,100.6,2019-09
57,100.5,100.5,2019-10
58,100.3,100.3,2019-11
59,100.4,100.8,2019-12
60,100.7,100.8,2020-01
61,100.2,100.4,2020-02
62,93.1,92.8,2020-03
63,73.7,74.6,2020-04
64,76.0,76.2,2020-05
65,82.8,83.6,2020-06
66,88.9,89.1,2020-07
67,90.8,91.8,2020-08
68,91.8,93.0,2020-09
69,92.3,93.6,2020-10
70,90.7,91.7,2020-11
71,92.3,92.9,2020-12
72,89.6,90.3,2021-01
73,90.2,91.3,2021-02
74,92.2,93.3,2021-03
75,95.1,96.8,2021-04
76,96.3,98.3,2021-05
77,97.3,99.4,2021-06
78,97.2,98.9,2021-07
79,98.0,99.8,2021-08
80,98.6,100.4,2021-09
81,98.7,100.7,2021-10
82,99.7,101.4,2021-11
83,99.8,100.9,2021-12
84,100.0,,2022-01
85,99.9,,2022-02
86,100.0,,2022-03
87,100.0,,2022-04
88,100.8,,2022-05
89,100.0,,2022-06
90,100.4,,2022-07
91,100.4,,2022-08
92,99.7,,2022-09
93,100.4,,2022-10
94,100.5,,2022-11
95,100.0,,2022-12
96,100.5,,2023-01
97,100.5,,2023-02
98,100.3,,2023-03
99,100.5,,2023-04
100,100.4,,2023-05
101,101.0,,2023-06
102,100.4,,2023-07
