,date,unemploy,wage,wage2,unemploy2
0,2020-01,0.04,1.0,100.0,4.0
1,2020-02,0.04,1.0,100.0,4.0
2,2020-03,0.040999999999999995,0.969,96.9,4.1
3,2020-04,0.040999999999999995,0.969,96.9,4.1
4,2020-05,0.040999999999999995,0.974,97.4,4.1
5,2020-06,0.043,0.974,97.4,4.3
6,2020-07,0.046,0.987,98.7,4.6
7,2020-08,0.049,1.011,101.1,4.9
8,2020-09,0.051,1.022,102.2,5.1
9,2020-10,0.051,1.031,103.1,5.1
10,2020-11,0.052000000000000005,1.04,104.0,5.2
11,2020-12,0.051,1.044,104.4,5.1
12,2021-01,0.051,1.044,104.4,5.1
13,2021-02,0.049,1.038,103.8,4.9
14,2021-03,0.049,1.011,101.1,4.9
15,2021-04,0.049,1.055,105.5,4.9
16,2021-05,0.047,1.064,106.4,4.7
17,2021-06,0.046,1.057,105.7,4.6
18,2021-07,0.044000000000000004,1.064,106.4,4.4
19,2021-08,0.043,1.07,107.0,4.3
20,2021-09,0.042,1.073,107.3,4.2
21,2021-10,0.040999999999999995,1.077,107.7,4.1
22,2021-11,0.04,1.075,107.5,4.0
23,2021-12,0.04,1.104,110.4,4.0
24,2022-01,0.038,1.097,109.7,3.8
25,2022-02,0.037000000000000005,1.099,109.9,3.7
26,2022-03,0.038,1.114,111.4,3.8
27,2022-04,0.038,1.106,110.6,3.8
28,2022-05,0.038,1.11,111.0,3.8
29,2022-06,0.036000000000000004,1.123,112.3,3.6
30,2022-07,0.035,1.126,112.6,3.5
31,2022-08,0.036000000000000004,1.134,113.4,3.6
32,2022-09,0.037000000000000005,1.139,113.9,3.7
33,2022-10,0.037000000000000005,1.147,114.7,3.7
34,2022-11,0.037000000000000005,1.152,115.2,3.7
35,2022-12,0.037000000000000005,1.158,115.8,3.7
36,2023-01,0.038,1.163,116.3,3.8
37,2023-02,0.039,1.172,117.2,3.9
38,2023-03,0.038,1.179,117.9,3.8
39,2023-04,0.04,1.192,119.2,4.0
40,2023-05,0.042,1.2,120.0,4.2
41,2023-06,0.043,1.227,122.7,4.3
